Resultados de SVM con validacion cruzada (5 folds):

C=0.01, kernel=linear, gamma=auto, degree=3 --> {'cohen_kappa': 0.23092632263951648, 'accuracy': 0.5290259740259741, 'precision': 0.44516106116106113, 'recall': 0.5290259740259741, 'f1': 0.44901324582625257}, tiempo_total=0.15 segundos

C=0.01, kernel=poly, gamma=scale, degree=2 --> {'cohen_kappa': 0.0, 'accuracy': 0.4022077922077922, 'precision': 0.16184255355034577, 'recall': 0.4022077922077922, 'f1': 0.2307892107892108}, tiempo_total=0.16 segundos

C=0.01, kernel=poly, gamma=scale, degree=3 --> {'cohen_kappa': 0.013179504919330464, 'accuracy': 0.4094805194805195, 'precision': 0.2976282896997183, 'recall': 0.4094805194805195, 'f1': 0.2458303291604727}, tiempo_total=0.17 segundos

C=0.01, kernel=poly, gamma=scale, degree=4 --> {'cohen_kappa': 0.03212851046487712, 'accuracy': 0.4203246753246753, 'precision': 0.5054136604136604, 'recall': 0.4203246753246753, 'f1': 0.26821284764449493}, tiempo_total=0.17 segundos

C=0.01, kernel=poly, gamma=scale, degree=5 --> {'cohen_kappa': 0.03212851046487712, 'accuracy': 0.4203246753246753, 'precision': 0.5054136604136604, 'recall': 0.4203246753246753, 'f1': 0.26821284764449493}, tiempo_total=0.18 segundos

C=0.01, kernel=poly, gamma=scale, degree=6 --> {'cohen_kappa': 0.027715957788744094, 'accuracy': 0.41668831168831166, 'precision': 0.47246403840743467, 'recall': 0.41668831168831166, 'f1': 0.26700998925886144}, tiempo_total=0.17 segundos

C=0.01, kernel=poly, gamma=scale, degree=7 --> {'cohen_kappa': 0.027715957788744094, 'accuracy': 0.41668831168831166, 'precision': 0.47246403840743467, 'recall': 0.41668831168831166, 'f1': 0.26700998925886144}, tiempo_total=0.17 segundos

C=0.01, kernel=poly, gamma=scale, degree=8 --> {'cohen_kappa': 0.02253698948343419, 'accuracy': 0.41305194805194806, 'precision': 0.4268129948318628, 'recall': 0.41305194805194806, 'f1': 0.26552846727207624}, tiempo_total=0.17 segundos

C=0.01, kernel=poly, gamma=scale, degree=9 --> {'cohen_kappa': 0.024589285408011995, 'accuracy': 0.41305194805194806, 'precision': 0.43618714269657666, 'recall': 0.41305194805194806, 'f1': 0.2694388494370039}, tiempo_total=0.18 segundos

C=0.01, kernel=poly, gamma=scale, degree=10 --> {'cohen_kappa': 0.030184509792825255, 'accuracy': 0.41668831168831166, 'precision': 0.41376641876641873, 'recall': 0.41668831168831166, 'f1': 0.2756971474043928}, tiempo_total=0.18 segundos

C=0.01, kernel=poly, gamma=auto, degree=2 --> {'cohen_kappa': 0.0, 'accuracy': 0.4022077922077922, 'precision': 0.16184255355034577, 'recall': 0.4022077922077922, 'f1': 0.2307892107892108}, tiempo_total=0.15 segundos

C=0.01, kernel=poly, gamma=auto, degree=3 --> {'cohen_kappa': 0.0, 'accuracy': 0.4022077922077922, 'precision': 0.16184255355034577, 'recall': 0.4022077922077922, 'f1': 0.2307892107892108}, tiempo_total=0.16 segundos

C=0.01, kernel=poly, gamma=auto, degree=4 --> {'cohen_kappa': 0.006798866855524088, 'accuracy': 0.4058441558441559, 'precision': 0.2279447880162166, 'recall': 0.4058441558441559, 'f1': 0.23831973449198332}, tiempo_total=0.17 segundos

C=0.01, kernel=poly, gamma=auto, degree=5 --> {'cohen_kappa': 0.019367234337264373, 'accuracy': 0.41305194805194806, 'precision': 0.36604665704665706, 'recall': 0.41305194805194806, 'f1': 0.2531916583075161}, tiempo_total=0.16 segundos

C=0.01, kernel=poly, gamma=auto, degree=6 --> {'cohen_kappa': 0.019367234337264373, 'accuracy': 0.41305194805194806, 'precision': 0.36604665704665706, 'recall': 0.41305194805194806, 'f1': 0.2531916583075161}, tiempo_total=0.16 segundos

C=0.01, kernel=poly, gamma=auto, degree=7 --> {'cohen_kappa': 0.025747872401070748, 'accuracy': 0.41668831168831166, 'precision': 0.43573015873015875, 'recall': 0.41668831168831166, 'f1': 0.2607022529760056}, tiempo_total=0.16 segundos

C=0.01, kernel=poly, gamma=auto, degree=8 --> {'cohen_kappa': 0.020789553812100237, 'accuracy': 0.41305194805194806, 'precision': 0.4348356793451133, 'recall': 0.41305194805194806, 'f1': 0.25918646350232133}, tiempo_total=0.16 segundos

C=0.01, kernel=poly, gamma=auto, degree=9 --> {'cohen_kappa': 0.03212851046487712, 'accuracy': 0.4203246753246753, 'precision': 0.5054136604136604, 'recall': 0.4203246753246753, 'f1': 0.26821284764449493}, tiempo_total=0.17 segundos

C=0.01, kernel=poly, gamma=auto, degree=10 --> {'cohen_kappa': 0.03212851046487712, 'accuracy': 0.4203246753246753, 'precision': 0.5054136604136604, 'recall': 0.4203246753246753, 'f1': 0.26821284764449493}, tiempo_total=0.17 segundos

C=0.01, kernel=rbf, gamma=scale, degree=3 --> {'cohen_kappa': 0.0, 'accuracy': 0.4022077922077922, 'precision': 0.16184255355034577, 'recall': 0.4022077922077922, 'f1': 0.2307892107892108}, tiempo_total=0.21 segundos

C=0.01, kernel=rbf, gamma=auto, degree=3 --> {'cohen_kappa': 0.0, 'accuracy': 0.4022077922077922, 'precision': 0.16184255355034577, 'recall': 0.4022077922077922, 'f1': 0.2307892107892108}, tiempo_total=0.21 segundos

C=0.01, kernel=sigmoid, gamma=scale, degree=3 --> {'cohen_kappa': 0.0, 'accuracy': 0.4022077922077922, 'precision': 0.16184255355034577, 'recall': 0.4022077922077922, 'f1': 0.2307892107892108}, tiempo_total=0.17 segundos

C=0.01, kernel=sigmoid, gamma=auto, degree=3 --> {'cohen_kappa': 0.0, 'accuracy': 0.4022077922077922, 'precision': 0.16184255355034577, 'recall': 0.4022077922077922, 'f1': 0.2307892107892108}, tiempo_total=0.17 segundos

C=0.1, kernel=linear, gamma=scale, degree=3 --> {'cohen_kappa': 0.23187286426408624, 'accuracy': 0.5218831168831168, 'precision': 0.43055616709032857, 'recall': 0.5218831168831168, 'f1': 0.45403117487630607}, tiempo_total=0.15 segundos

C=0.1, kernel=linear, gamma=auto, degree=3 --> {'cohen_kappa': 0.23187286426408624, 'accuracy': 0.5218831168831168, 'precision': 0.43055616709032857, 'recall': 0.5218831168831168, 'f1': 0.45403117487630607}, tiempo_total=0.15 segundos

C=0.1, kernel=poly, gamma=scale, degree=2 --> {'cohen_kappa': 0.11833995647167572, 'accuracy': 0.46733766233766233, 'precision': 0.4492208810797046, 'recall': 0.46733766233766233, 'f1': 0.36242396395525484}, tiempo_total=0.15 segundos

C=0.1, kernel=poly, gamma=scale, degree=3 --> {'cohen_kappa': 0.05402897305417507, 'accuracy': 0.4311688311688311, 'precision': 0.43564402450957085, 'recall': 0.4311688311688311, 'f1': 0.3009089714266652}, tiempo_total=0.16 segundos

C=0.1, kernel=poly, gamma=scale, degree=4 --> {'cohen_kappa': 0.035233238048568725, 'accuracy': 0.4203246753246753, 'precision': 0.44532878536763115, 'recall': 0.4203246753246753, 'f1': 0.27819949336728345}, tiempo_total=0.17 segundos

C=0.1, kernel=poly, gamma=scale, degree=5 --> {'cohen_kappa': 0.03156387449253621, 'accuracy': 0.41668831168831166, 'precision': 0.4192629993018451, 'recall': 0.41668831168831166, 'f1': 0.2802650817295225}, tiempo_total=0.19 segundos

C=0.1, kernel=poly, gamma=scale, degree=6 --> {'cohen_kappa': 0.02522619120385474, 'accuracy': 0.41305194805194806, 'precision': 0.4128719393813734, 'recall': 0.41305194805194806, 'f1': 0.2741813579307085}, tiempo_total=0.22 segundos

C=0.1, kernel=poly, gamma=scale, degree=7 --> {'cohen_kappa': 0.02522619120385474, 'accuracy': 0.41305194805194806, 'precision': 0.4128719393813734, 'recall': 0.41305194805194806, 'f1': 0.2741813579307085}, tiempo_total=0.18 segundos

C=0.1, kernel=poly, gamma=scale, degree=8 --> {'cohen_kappa': 0.025562880628565952, 'accuracy': 0.41305194805194806, 'precision': 0.4077176818741747, 'recall': 0.41305194805194806, 'f1': 0.27450064452862427}, tiempo_total=0.20 segundos

C=0.1, kernel=poly, gamma=scale, degree=9 --> {'cohen_kappa': 0.019887537191775384, 'accuracy': 0.40941558441558434, 'precision': 0.4032905874000214, 'recall': 0.40941558441558434, 'f1': 0.27263692093172615}, tiempo_total=0.19 segundos

C=0.1, kernel=poly, gamma=scale, degree=10 --> {'cohen_kappa': 0.008590647538562934, 'accuracy': 0.40214285714285714, 'precision': 0.3559925838867015, 'recall': 0.40214285714285714, 'f1': 0.26887223156703677}, tiempo_total=0.20 segundos

C=0.1, kernel=poly, gamma=auto, degree=2 --> {'cohen_kappa': 0.04066708025552046, 'accuracy': 0.4239610389610389, 'precision': 0.43260151264035845, 'recall': 0.4239610389610389, 'f1': 0.2841042552720453}, tiempo_total=0.23 segundos

C=0.1, kernel=poly, gamma=auto, degree=3 --> {'cohen_kappa': 0.026406850984266806, 'accuracy': 0.41668831168831166, 'precision': 0.46997372648316044, 'recall': 0.41668831168831166, 'f1': 0.2663680538418064}, tiempo_total=0.18 segundos

C=0.1, kernel=poly, gamma=auto, degree=4 --> {'cohen_kappa': 0.026952616897104285, 'accuracy': 0.41668831168831166, 'precision': 0.43791858386198007, 'recall': 0.41668831168831166, 'f1': 0.26668098492985715}, tiempo_total=0.17 segundos

C=0.1, kernel=poly, gamma=auto, degree=5 --> {'cohen_kappa': 0.02253698948343419, 'accuracy': 0.41305194805194806, 'precision': 0.4268129948318628, 'recall': 0.41305194805194806, 'f1': 0.26552846727207624}, tiempo_total=0.18 segundos

C=0.1, kernel=poly, gamma=auto, degree=6 --> {'cohen_kappa': 0.02253698948343419, 'accuracy': 0.41305194805194806, 'precision': 0.4268129948318628, 'recall': 0.41305194805194806, 'f1': 0.26552846727207624}, tiempo_total=0.17 segundos

C=0.1, kernel=poly, gamma=auto, degree=7 --> {'cohen_kappa': 0.01681533000282387, 'accuracy': 0.40941558441558445, 'precision': 0.39137306090136287, 'recall': 0.40941558441558445, 'f1': 0.2636836734693878}, tiempo_total=0.18 segundos

