Resultados de Random Forest con validacion cruzada (5 folds):

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.18558328917391193, 'accuracy': 0.4856493506493507, 'precision': 0.4455651048298107, 'recall': 0.4856493506493507, 'f1': 0.44156694323921214}, tiempo_total=1.08 segundos

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.18558328917391193, 'accuracy': 0.4856493506493507, 'precision': 0.4455651048298107, 'recall': 0.4856493506493507, 'f1': 0.44156694323921214}, tiempo_total=1.05 segundos

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.16774966828950053, 'accuracy': 0.4674675324675325, 'precision': 0.43109106547530196, 'recall': 0.4674675324675325, 'f1': 0.43779713140879684}, tiempo_total=1.49 segundos

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.16292387721299348, 'accuracy': 0.4711038961038961, 'precision': 0.4084757611579827, 'recall': 0.4711038961038961, 'f1': 0.4268637364548412}, tiempo_total=1.15 segundos

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.16292387721299348, 'accuracy': 0.4711038961038961, 'precision': 0.4084757611579827, 'recall': 0.4711038961038961, 'f1': 0.4268637364548412}, tiempo_total=1.30 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.19444258867696873, 'accuracy': 0.4891558441558441, 'precision': 0.46098363736338166, 'recall': 0.4891558441558441, 'f1': 0.4474794955731043}, tiempo_total=1.26 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.19431712705080245, 'accuracy': 0.4998701298701299, 'precision': 0.40178012690064335, 'recall': 0.4998701298701299, 'f1': 0.43412706434506526}, tiempo_total=0.98 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.19431712705080245, 'accuracy': 0.4998701298701299, 'precision': 0.40178012690064335, 'recall': 0.4998701298701299, 'f1': 0.43412706434506526}, tiempo_total=0.96 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.2048341708108503, 'accuracy': 0.4963636363636364, 'precision': 0.46652088552292154, 'recall': 0.4963636363636364, 'f1': 0.4531742848790573}, tiempo_total=1.26 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.19911873381755468, 'accuracy': 0.5035714285714286, 'precision': 0.4039928005553005, 'recall': 0.5035714285714286, 'f1': 0.43678536677128366}, tiempo_total=1.00 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.19911873381755468, 'accuracy': 0.5035714285714286, 'precision': 0.4039928005553005, 'recall': 0.5035714285714286, 'f1': 0.43678536677128366}, tiempo_total=1.00 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.19469430612547864, 'accuracy': 0.4891558441558441, 'precision': 0.4567352199319809, 'recall': 0.4891558441558441, 'f1': 0.44641281372801905}, tiempo_total=1.35 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.18779250354761848, 'accuracy': 0.49629870129870124, 'precision': 0.4006555019238842, 'recall': 0.49629870129870124, 'f1': 0.4313046606008452}, tiempo_total=1.03 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.18779250354761848, 'accuracy': 0.49629870129870124, 'precision': 0.4006555019238842, 'recall': 0.49629870129870124, 'f1': 0.4313046606008452}, tiempo_total=0.95 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.18803859624626512, 'accuracy': 0.48558441558441556, 'precision': 0.4567026817867272, 'recall': 0.48558441558441556, 'f1': 0.44318089535736593}, tiempo_total=1.34 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.20175172835503002, 'accuracy': 0.5035714285714287, 'precision': 0.44404680149571796, 'recall': 0.5035714285714287, 'f1': 0.44210961364057344}, tiempo_total=0.98 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.20175172835503002, 'accuracy': 0.5035714285714287, 'precision': 0.44404680149571796, 'recall': 0.5035714285714287, 'f1': 0.44210961364057344}, tiempo_total=0.98 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.2056057804954375, 'accuracy': 0.4963636363636364, 'precision': 0.46477261363352057, 'recall': 0.4963636363636364, 'f1': 0.4533827540109449}, tiempo_total=1.37 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.18331726454669708, 'accuracy': 0.49272727272727257, 'precision': 0.3943169510228334, 'recall': 0.49272727272727257, 'f1': 0.42873072655499067}, tiempo_total=1.06 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.18331726454669708, 'accuracy': 0.49272727272727257, 'precision': 0.3943169510228334, 'recall': 0.49272727272727257, 'f1': 0.42873072655499067}, tiempo_total=1.03 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.19469430612547864, 'accuracy': 0.4891558441558441, 'precision': 0.4567352199319809, 'recall': 0.4891558441558441, 'f1': 0.44641281372801905}, tiempo_total=1.30 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.18779250354761848, 'accuracy': 0.49629870129870124, 'precision': 0.4006555019238842, 'recall': 0.49629870129870124, 'f1': 0.4313046606008452}, tiempo_total=1.04 segundos

criterion=gini, max_depth=3, min_samples_split=5, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.18779250354761848, 'accuracy': 0.49629870129870124, 'precision': 0.4006555019238842, 'recall': 0.49629870129870124, 'f1': 0.4313046606008452}, tiempo_total=1.18 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.200542983390471, 'accuracy': 0.4927272727272727, 'precision': 0.46280391386107755, 'recall': 0.4927272727272727, 'f1': 0.4509831321511027}, tiempo_total=1.47 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.1879940761916247, 'accuracy': 0.4962337662337662, 'precision': 0.40022219463682873, 'recall': 0.4962337662337662, 'f1': 0.43017545365341664}, tiempo_total=1.17 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.1879940761916247, 'accuracy': 0.4962337662337662, 'precision': 0.40022219463682873, 'recall': 0.4962337662337662, 'f1': 0.43017545365341664}, tiempo_total=1.03 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.2056057804954375, 'accuracy': 0.4963636363636364, 'precision': 0.46477261363352057, 'recall': 0.4963636363636364, 'f1': 0.4533827540109449}, tiempo_total=1.45 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.1936356835752243, 'accuracy': 0.4998701298701298, 'precision': 0.40427525268988684, 'recall': 0.4998701298701298, 'f1': 0.43412366836562316}, tiempo_total=1.23 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.1936356835752243, 'accuracy': 0.4998701298701298, 'precision': 0.40427525268988684, 'recall': 0.4998701298701298, 'f1': 0.43412366836562316}, tiempo_total=1.11 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.19469430612547864, 'accuracy': 0.4891558441558441, 'precision': 0.4567352199319809, 'recall': 0.4891558441558441, 'f1': 0.44641281372801905}, tiempo_total=1.35 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.1800623977854662, 'accuracy': 0.49266233766233763, 'precision': 0.4040555953172861, 'recall': 0.49266233766233763, 'f1': 0.4264028763398146}, tiempo_total=1.03 segundos

criterion=gini, max_depth=3, min_samples_split=10, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.1800623977854662, 'accuracy': 0.49266233766233763, 'precision': 0.4040555953172861, 'recall': 0.49266233766233763, 'f1': 0.4264028763398146}, tiempo_total=1.16 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.16960282605872154, 'accuracy': 0.47097402597402593, 'precision': 0.4181445567293001, 'recall': 0.47097402597402593, 'f1': 0.43328812068266875}, tiempo_total=1.61 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.20544620876167033, 'accuracy': 0.5035714285714286, 'precision': 0.46725614314384367, 'recall': 0.5035714285714286, 'f1': 0.45083010881299873}, tiempo_total=1.10 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.20544620876167033, 'accuracy': 0.5035714285714286, 'precision': 0.46725614314384367, 'recall': 0.5035714285714286, 'f1': 0.45083010881299873}, tiempo_total=1.09 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.15243468415387965, 'accuracy': 0.460064935064935, 'precision': 0.40346178534109567, 'recall': 0.460064935064935, 'f1': 0.4227856335498137}, tiempo_total=1.56 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.18755251806571688, 'accuracy': 0.48902597402597403, 'precision': 0.42061681478776525, 'recall': 0.48902597402597403, 'f1': 0.4373275533076934}, tiempo_total=1.08 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.18755251806571688, 'accuracy': 0.48902597402597403, 'precision': 0.42061681478776525, 'recall': 0.48902597402597403, 'f1': 0.4373275533076934}, tiempo_total=1.09 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.1752754273758486, 'accuracy': 0.47461038961038965, 'precision': 0.42972147419883006, 'recall': 0.47461038961038965, 'f1': 0.440925036189263}, tiempo_total=1.48 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.18884650847712262, 'accuracy': 0.4892207792207793, 'precision': 0.4311674959457467, 'recall': 0.4892207792207793, 'f1': 0.4400527735981533}, tiempo_total=1.10 segundos

criterion=gini, max_depth=5, min_samples_split=2, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.18884650847712262, 'accuracy': 0.4892207792207793, 'precision': 0.4311674959457467, 'recall': 0.4892207792207793, 'f1': 0.4400527735981533}, tiempo_total=1.06 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.1573022040775574, 'accuracy': 0.46376623376623377, 'precision': 0.3997977448110595, 'recall': 0.46376623376623377, 'f1': 0.4235430356145374}, tiempo_total=1.52 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.18363179640439234, 'accuracy': 0.4890909090909091, 'precision': 0.4721706695729466, 'recall': 0.4890909090909091, 'f1': 0.43523598114499096}, tiempo_total=1.05 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.18363179640439234, 'accuracy': 0.4890909090909091, 'precision': 0.4721706695729466, 'recall': 0.4890909090909091, 'f1': 0.43523598114499096}, tiempo_total=1.20 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.14399305223245498, 'accuracy': 0.45298701298701294, 'precision': 0.41049942362873404, 'recall': 0.45298701298701294, 'f1': 0.4205365327282101}, tiempo_total=1.55 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.19415405503040156, 'accuracy': 0.4927922077922077, 'precision': 0.42835707591592953, 'recall': 0.4927922077922077, 'f1': 0.4408982167575949}, tiempo_total=1.05 segundos

criterion=gini, max_depth=5, min_samples_split=5, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.19415405503040156, 'accuracy': 0.4927922077922077, 'precision': 0.42835707591592953, 'recall': 0.4927922077922077, 'f1': 0.4408982167575949}, tiempo_total=1.05 segundos

