Resultados de Regresion Logistica con validacion cruzada (5 folds):

C=0.1, penalty=elasticnet, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.25800399986511036, 'accuracy': 0.5361688311688311, 'precision': 0.45569238836404996, 'recall': 0.5361688311688311, 'f1': 0.47468825844483353}, tiempo_total=0.22 segundos

C=0.1, penalty=elasticnet, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.2214598723636795, 'accuracy': 0.5146753246753246, 'precision': 0.40588733912962527, 'recall': 0.5146753246753246, 'f1': 0.44652180169280803}, tiempo_total=0.24 segundos

C=0.1, penalty=None, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.25273348259212663, 'accuracy': 0.5036363636363637, 'precision': 0.4904111905019438, 'recall': 0.5036363636363637, 'f1': 0.4869796452039331}, tiempo_total=0.38 segundos

C=0.1, penalty=None, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.24487190097064274, 'accuracy': 0.5037662337662338, 'precision': 0.4853273852761949, 'recall': 0.5037662337662338, 'f1': 0.4838363846458716}, tiempo_total=1.83 segundos

C=0.1, penalty=None, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.248465809270012, 'accuracy': 0.5, 'precision': 0.4888568555088737, 'recall': 0.5, 'f1': 0.4844194086924771}, tiempo_total=0.32 segundos

C=0.1, penalty=None, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.2325277646898914, 'accuracy': 0.4855194805194805, 'precision': 0.4794294365909549, 'recall': 0.4855194805194805, 'f1': 0.4757311167521324}, tiempo_total=0.51 segundos

C=0.1, penalty=None, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.23837046833222475, 'accuracy': 0.49642857142857144, 'precision': 0.4831977481579212, 'recall': 0.49642857142857144, 'f1': 0.4836104403724636}, tiempo_total=0.96 segundos

C=0.1, penalty=None, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.23276468118525134, 'accuracy': 0.48545454545454536, 'precision': 0.4809863381873821, 'recall': 0.48545454545454536, 'f1': 0.47638814606663793}, tiempo_total=0.35 segundos

