Resultados de SVM con validacion cruzada (5 folds):

C=0.001, kernel=sigmoid, gamma=scale, degree=3 --> {'cohen_kappa': 0.0, 'accuracy': 0.7791962174940898, 'precision': 0.6071480866712495, 'recall': 0.7791962174940898, 'f1': 0.68249602064555, 'roc_auc': 0.8736654271603888}, tiempo_total=2.41 segundos

C=0.001, kernel=sigmoid, gamma=auto, degree=3 --> {'cohen_kappa': 0.0, 'accuracy': 0.7791962174940898, 'precision': 0.6071480866712495, 'recall': 0.7791962174940898, 'f1': 0.68249602064555, 'roc_auc': 0.8845969875509592}, tiempo_total=2.42 segundos

C=0.01, kernel=linear, gamma=scale, degree=3 --> {'cohen_kappa': 0.6350561062707281, 'accuracy': 0.8789598108747045, 'precision': 0.8715589500796719, 'recall': 0.8789598108747045, 'f1': 0.8709618894748757, 'roc_auc': 0.9585638512620303}, tiempo_total=1.25 segundos

C=0.01, kernel=linear, gamma=auto, degree=3 --> {'cohen_kappa': 0.6350561062707281, 'accuracy': 0.8789598108747045, 'precision': 0.8715589500796719, 'recall': 0.8789598108747045, 'f1': 0.8709618894748757, 'roc_auc': 0.9585638512620303}, tiempo_total=1.20 segundos

C=0.01, kernel=poly, gamma=scale, degree=2 --> {'cohen_kappa': 0.21523764602880427, 'accuracy': 0.8099290780141845, 'precision': 0.707837951052203, 'recall': 0.8099290780141845, 'f1': 0.7387351223702389, 'roc_auc': 0.926799886648942}, tiempo_total=1.59 segundos

C=0.01, kernel=poly, gamma=scale, degree=3 --> {'cohen_kappa': 0.27388001783720134, 'accuracy': 0.8179669030732859, 'precision': 0.7162466956282707, 'recall': 0.8179669030732859, 'f1': 0.7518087027504261, 'roc_auc': 0.9489456477337189}, tiempo_total=1.48 segundos

C=0.01, kernel=poly, gamma=scale, degree=4 --> {'cohen_kappa': 0.3127796440402305, 'accuracy': 0.8231678486997636, 'precision': 0.7334176904228589, 'recall': 0.8231678486997636, 'f1': 0.761389495165283, 'roc_auc': 0.9337209662019585}, tiempo_total=1.63 segundos

C=0.01, kernel=poly, gamma=scale, degree=5 --> {'cohen_kappa': 0.37564310846943066, 'accuracy': 0.8335697399527187, 'precision': 0.7892644093487822, 'recall': 0.8335697399527187, 'f1': 0.7808802182970764, 'roc_auc': 0.944690573129817}, tiempo_total=1.53 segundos

C=0.01, kernel=poly, gamma=scale, degree=6 --> {'cohen_kappa': 0.39422903777418156, 'accuracy': 0.837825059101655, 'precision': 0.8026185103106755, 'recall': 0.837825059101655, 'f1': 0.7853378288652115, 'roc_auc': 0.9165041558612647}, tiempo_total=1.62 segundos

C=0.01, kernel=poly, gamma=scale, degree=7 --> {'cohen_kappa': 0.4132253499823405, 'accuracy': 0.8401891252955084, 'precision': 0.8031187517393009, 'recall': 0.8401891252955084, 'f1': 0.7914764203157703, 'roc_auc': 0.9288384754428083}, tiempo_total=1.57 segundos

C=0.01, kernel=poly, gamma=scale, degree=8 --> {'cohen_kappa': 0.4131483988335061, 'accuracy': 0.8401891252955084, 'precision': 0.8046763579416443, 'recall': 0.8401891252955084, 'f1': 0.7918232563086851, 'roc_auc': 0.9118176472200187}, tiempo_total=1.71 segundos

C=0.01, kernel=poly, gamma=scale, degree=9 --> {'cohen_kappa': 0.4265977105680852, 'accuracy': 0.8425531914893616, 'precision': 0.814860756568294, 'recall': 0.8425531914893616, 'f1': 0.7963434542189133, 'roc_auc': 0.9120861633416044}, tiempo_total=1.62 segundos

C=0.01, kernel=poly, gamma=scale, degree=10 --> {'cohen_kappa': 0.4266891675347845, 'accuracy': 0.842080378250591, 'precision': 0.8151619679117186, 'recall': 0.842080378250591, 'f1': 0.7972779320737358, 'roc_auc': 0.8943921115491372}, tiempo_total=1.79 segundos

C=0.01, kernel=poly, gamma=auto, degree=2 --> {'cohen_kappa': 0.16675501769146367, 'accuracy': 0.8023640661938535, 'precision': 0.70252822811243, 'recall': 0.8023640661938535, 'f1': 0.7275658496761924, 'roc_auc': 0.9264809634224382}, tiempo_total=1.59 segundos

C=0.01, kernel=poly, gamma=auto, degree=3 --> {'cohen_kappa': 0.2548429461620623, 'accuracy': 0.8156028368794326, 'precision': 0.7130361246819293, 'recall': 0.8156028368794326, 'f1': 0.7476017998962611, 'roc_auc': 0.948735887554393}, tiempo_total=1.49 segundos

C=0.01, kernel=poly, gamma=auto, degree=4 --> {'cohen_kappa': 0.285185566736564, 'accuracy': 0.8184397163120567, 'precision': 0.7313836979970915, 'recall': 0.8184397163120567, 'f1': 0.7552203016960986, 'roc_auc': 0.9322385273592737}, tiempo_total=1.69 segundos

C=0.01, kernel=poly, gamma=auto, degree=5 --> {'cohen_kappa': 0.33164216399885726, 'accuracy': 0.8260047281323877, 'precision': 0.7437129231760581, 'recall': 0.8260047281323877, 'f1': 0.7664594177317977, 'roc_auc': 0.9430821579303663}, tiempo_total=1.59 segundos

C=0.01, kernel=poly, gamma=auto, degree=6 --> {'cohen_kappa': 0.3493442297799096, 'accuracy': 0.8293144208037825, 'precision': 0.771212989627651, 'recall': 0.8293144208037825, 'f1': 0.7706161064438071, 'roc_auc': 0.9120807393915173}, tiempo_total=1.69 segundos

C=0.01, kernel=poly, gamma=auto, degree=7 --> {'cohen_kappa': 0.38486141369424365, 'accuracy': 0.8364066193853427, 'precision': 0.7952085906685908, 'recall': 0.8364066193853427, 'f1': 0.7805134552825441, 'roc_auc': 0.9221410175088647}, tiempo_total=1.62 segundos

C=0.01, kernel=poly, gamma=auto, degree=8 --> {'cohen_kappa': 0.3923594272651323, 'accuracy': 0.8368794326241135, 'precision': 0.7908443305403082, 'recall': 0.8368794326241135, 'f1': 0.7830595490290377, 'roc_auc': 0.8977942368459081}, tiempo_total=1.73 segundos

C=0.01, kernel=poly, gamma=auto, degree=9 --> {'cohen_kappa': 0.39654817489565863, 'accuracy': 0.837825059101655, 'precision': 0.7994573894854852, 'recall': 0.837825059101655, 'f1': 0.7846791175652186, 'roc_auc': 0.8945062355646256}, tiempo_total=1.63 segundos

C=0.01, kernel=poly, gamma=auto, degree=10 --> {'cohen_kappa': 0.39558137114999453, 'accuracy': 0.8368794326241135, 'precision': 0.7979461118297534, 'recall': 0.8368794326241135, 'f1': 0.7852097550162123, 'roc_auc': 0.882823053491388}, tiempo_total=1.82 segundos

C=0.01, kernel=rbf, gamma=scale, degree=3 --> {'cohen_kappa': 0.0, 'accuracy': 0.7791962174940898, 'precision': 0.6071480866712495, 'recall': 0.7791962174940898, 'f1': 0.68249602064555, 'roc_auc': 0.9599062498585887}, tiempo_total=3.12 segundos

C=0.01, kernel=rbf, gamma=auto, degree=3 --> {'cohen_kappa': 0.0, 'accuracy': 0.7791962174940898, 'precision': 0.6071480866712495, 'recall': 0.7791962174940898, 'f1': 0.68249602064555, 'roc_auc': 0.9595761011660194}, tiempo_total=3.05 segundos

C=0.01, kernel=sigmoid, gamma=scale, degree=3 --> {'cohen_kappa': 0.0, 'accuracy': 0.7791962174940898, 'precision': 0.6071480866712495, 'recall': 0.7791962174940898, 'f1': 0.68249602064555, 'roc_auc': 0.874172495920505}, tiempo_total=2.41 segundos

C=0.01, kernel=sigmoid, gamma=auto, degree=3 --> {'cohen_kappa': 0.0, 'accuracy': 0.7791962174940898, 'precision': 0.6071480866712495, 'recall': 0.7791962174940898, 'f1': 0.68249602064555, 'roc_auc': 0.8851356197667393}, tiempo_total=2.41 segundos

C=0.1, kernel=linear, gamma=scale, degree=3 --> {'cohen_kappa': 0.7219555071893622, 'accuracy': 0.9002364066193854, 'precision': 0.900278039809305, 'recall': 0.9002364066193854, 'f1': 0.8995633767418502, 'roc_auc': 0.9668269220989749}, tiempo_total=1.14 segundos

C=0.1, kernel=linear, gamma=auto, degree=3 --> {'cohen_kappa': 0.7219555071893622, 'accuracy': 0.9002364066193854, 'precision': 0.900278039809305, 'recall': 0.9002364066193854, 'f1': 0.8995633767418502, 'roc_auc': 0.9668269220989749}, tiempo_total=1.25 segundos

C=0.1, kernel=poly, gamma=scale, degree=2 --> {'cohen_kappa': 0.5071671767958086, 'accuracy': 0.8567375886524822, 'precision': 0.8408722568645478, 'recall': 0.8567375886524822, 'f1': 0.8282683729386809, 'roc_auc': 0.9332316973422101}, tiempo_total=1.59 segundos

C=0.1, kernel=poly, gamma=scale, degree=3 --> {'cohen_kappa': 0.5785106104970981, 'accuracy': 0.8728132387706855, 'precision': 0.8583480715546361, 'recall': 0.8728132387706855, 'f1': 0.8514814011356335, 'roc_auc': 0.9594065622850056}, tiempo_total=1.42 segundos

C=0.1, kernel=poly, gamma=scale, degree=4 --> {'cohen_kappa': 0.5223098002424136, 'accuracy': 0.8609929078014185, 'precision': 0.8444463798673203, 'recall': 0.8609929078014185, 'f1': 0.8310052502194271, 'roc_auc': 0.943577122543954}, tiempo_total=1.60 segundos

C=0.1, kernel=poly, gamma=scale, degree=5 --> {'cohen_kappa': 0.5425926735268745, 'accuracy': 0.864775413711584, 'precision': 0.8499289814076155, 'recall': 0.864775413711584, 'f1': 0.8381352320860799, 'roc_auc': 0.954102549051302}, tiempo_total=1.52 segundos

C=0.1, kernel=poly, gamma=scale, degree=6 --> {'cohen_kappa': 0.5068206667513897, 'accuracy': 0.857210401891253, 'precision': 0.8378488961314245, 'recall': 0.857210401891253, 'f1': 0.8248809664840197, 'roc_auc': 0.9364017088050529}, tiempo_total=1.73 segundos

C=0.1, kernel=poly, gamma=scale, degree=7 --> {'cohen_kappa': 0.5130298600594156, 'accuracy': 0.8581560283687943, 'precision': 0.8397481570194081, 'recall': 0.8581560283687943, 'f1': 0.8267015706132819, 'roc_auc': 0.9369772385227142}, tiempo_total=1.54 segundos

C=0.1, kernel=poly, gamma=scale, degree=8 --> {'cohen_kappa': 0.5127425668951537, 'accuracy': 0.8591016548463356, 'precision': 0.8433900738866535, 'recall': 0.8591016548463356, 'f1': 0.8263239939295082, 'roc_auc': 0.9185143917260271}, tiempo_total=1.75 segundos

C=0.1, kernel=poly, gamma=scale, degree=9 --> {'cohen_kappa': 0.509294634097335, 'accuracy': 0.8576832151300238, 'precision': 0.8427005266420089, 'recall': 0.8576832151300238, 'f1': 0.8252945898281674, 'roc_auc': 0.9229199660846238}, tiempo_total=1.59 segundos

C=0.1, kernel=poly, gamma=scale, degree=10 --> {'cohen_kappa': 0.5182175681910266, 'accuracy': 0.8605200945626479, 'precision': 0.8483014593823434, 'recall': 0.8605200945626479, 'f1': 0.8280465376050327, 'roc_auc': 0.9031018412051661}, tiempo_total=1.77 segundos

C=0.1, kernel=poly, gamma=auto, degree=2 --> {'cohen_kappa': 0.4913564478470602, 'accuracy': 0.8534278959810873, 'precision': 0.8363676335735282, 'recall': 0.8534278959810873, 'f1': 0.822971475314741, 'roc_auc': 0.9316607791653139}, tiempo_total=1.48 segundos

C=0.1, kernel=poly, gamma=auto, degree=3 --> {'cohen_kappa': 0.5656161770615001, 'accuracy': 0.8704491725768321, 'precision': 0.8562478119406004, 'recall': 0.8704491725768321, 'f1': 0.847068631489919, 'roc_auc': 0.9582125211160479}, tiempo_total=1.42 segundos

C=0.1, kernel=poly, gamma=auto, degree=4 --> {'cohen_kappa': 0.49892525169372853, 'accuracy': 0.8562647754137117, 'precision': 0.8391185152130347, 'recall': 0.8562647754137117, 'f1': 0.8225834818445016, 'roc_auc': 0.9415927188591704}, tiempo_total=1.47 segundos

C=0.1, kernel=poly, gamma=auto, degree=5 --> {'cohen_kappa': 0.5157747987632046, 'accuracy': 0.8591016548463358, 'precision': 0.8415500915900246, 'recall': 0.8591016548463358, 'f1': 0.8285121728973944, 'roc_auc': 0.9542423038746298}, tiempo_total=1.62 segundos

C=0.1, kernel=poly, gamma=auto, degree=6 --> {'cohen_kappa': 0.49657767990125806, 'accuracy': 0.8557919621749409, 'precision': 0.8374383878827614, 'recall': 0.8557919621749409, 'f1': 0.8213677783110533, 'roc_auc': 0.9356235074402361}, tiempo_total=1.57 segundos

C=0.1, kernel=poly, gamma=auto, degree=7 --> {'cohen_kappa': 0.5031930356291635, 'accuracy': 0.8562647754137117, 'precision': 0.8372218209661815, 'recall': 0.8562647754137117, 'f1': 0.8236645092042192, 'roc_auc': 0.938963472648868}, tiempo_total=1.52 segundos

C=0.1, kernel=poly, gamma=auto, degree=8 --> {'cohen_kappa': 0.4977946641722257, 'accuracy': 0.8557919621749409, 'precision': 0.8397698655882462, 'recall': 0.8557919621749409, 'f1': 0.8211787637641802, 'roc_auc': 0.9186194032861159}, tiempo_total=1.71 segundos

C=0.1, kernel=poly, gamma=auto, degree=9 --> {'cohen_kappa': 0.5013807671309847, 'accuracy': 0.8567375886524824, 'precision': 0.8431627650364144, 'recall': 0.8567375886524824, 'f1': 0.8219420131364388, 'roc_auc': 0.9203754328798277}, tiempo_total=1.60 segundos

C=0.1, kernel=poly, gamma=auto, degree=10 --> {'cohen_kappa': 0.4918926724279264, 'accuracy': 0.8543735224586289, 'precision': 0.8399734863448653, 'recall': 0.8543735224586289, 'f1': 0.8193294147519239, 'roc_auc': 0.9048922598813217}, tiempo_total=2.01 segundos

C=0.1, kernel=rbf, gamma=scale, degree=3 --> {'cohen_kappa': 0.576990591469568, 'accuracy': 0.8704491725768323, 'precision': 0.8647762505492935, 'recall': 0.8704491725768323, 'f1': 0.8547100335759555, 'roc_auc': 0.9625570260833871}, tiempo_total=3.32 segundos

C=0.1, kernel=rbf, gamma=auto, degree=3 --> {'cohen_kappa': 0.5764572744468818, 'accuracy': 0.8704491725768323, 'precision': 0.8645729320763713, 'recall': 0.8704491725768323, 'f1': 0.8544790412319963, 'roc_auc': 0.9623420880337668}, tiempo_total=3.12 segundos

C=0.1, kernel=sigmoid, gamma=scale, degree=3 --> {'cohen_kappa': 0.3854899127637633, 'accuracy': 0.8156028368794328, 'precision': 0.7713287461639223, 'recall': 0.8156028368794328, 'f1': 0.783580207142329, 'roc_auc': 0.8687484411090939}, tiempo_total=2.44 segundos

C=0.1, kernel=sigmoid, gamma=auto, degree=3 --> {'cohen_kappa': 0.3984692490036182, 'accuracy': 0.8198581560283686, 'precision': 0.7782946404196098, 'recall': 0.8198581560283686, 'f1': 0.7876859971925938, 'roc_auc': 0.8789812517654354}, tiempo_total=2.44 segundos

C=1, kernel=linear, gamma=scale, degree=3 --> {'cohen_kappa': 0.7068716938616966, 'accuracy': 0.8945626477541371, 'precision': 0.8929765070685193, 'recall': 0.8945626477541371, 'f1': 0.8931230363243818, 'roc_auc': 0.967725088468337}, tiempo_total=1.33 segundos

C=1, kernel=linear, gamma=auto, degree=3 --> {'cohen_kappa': 0.7068716938616966, 'accuracy': 0.8945626477541371, 'precision': 0.8929765070685193, 'recall': 0.8945626477541371, 'f1': 0.8931230363243818, 'roc_auc': 0.967725088468337}, tiempo_total=1.48 segundos

C=1, kernel=poly, gamma=scale, degree=2 --> {'cohen_kappa': 0.6542109013099825, 'accuracy': 0.8874704491725769, 'precision': 0.8774131760545074, 'recall': 0.8874704491725769, 'f1': 0.8773095884077959, 'roc_auc': 0.9498897435098442}, tiempo_total=1.55 segundos

C=1, kernel=poly, gamma=scale, degree=3 --> {'cohen_kappa': 0.7046937204694719, 'accuracy': 0.9011820330969267, 'precision': 0.8947415907258612, 'recall': 0.9011820330969267, 'f1': 0.8948346116602108, 'roc_auc': 0.9677407541950311}, tiempo_total=1.40 segundos

C=1, kernel=poly, gamma=scale, degree=4 --> {'cohen_kappa': 0.6460874512154828, 'accuracy': 0.8865248226950355, 'precision': 0.8763038186350253, 'recall': 0.8865248226950355, 'f1': 0.8746193786239147, 'roc_auc': 0.9492955965553156}, tiempo_total=1.51 segundos

C=1, kernel=poly, gamma=scale, degree=5 --> {'cohen_kappa': 0.6764948102922069, 'accuracy': 0.8940898345153665, 'precision': 0.8860414526868583, 'recall': 0.8940898345153665, 'f1': 0.8849979127818528, 'roc_auc': 0.9551302883164869}, tiempo_total=1.56 segundos

C=1, kernel=poly, gamma=scale, degree=6 --> {'cohen_kappa': 0.6249686042135371, 'accuracy': 0.881323877068558, 'precision': 0.8694174679086558, 'recall': 0.881323877068558, 'f1': 0.8669257521371228, 'roc_auc': 0.9375743534232626}, tiempo_total=1.58 segundos

C=1, kernel=poly, gamma=scale, degree=7 --> {'cohen_kappa': 0.6430466532711543, 'accuracy': 0.8860520094562648, 'precision': 0.875346538914797, 'recall': 0.8860520094562648, 'f1': 0.8720123478248103, 'roc_auc': 0.9373879512034993}, tiempo_total=1.55 segundos

C=1, kernel=poly, gamma=scale, degree=8 --> {'cohen_kappa': 0.601758151307111, 'accuracy': 0.8756501182033098, 'precision': 0.8620437328215257, 'recall': 0.8756501182033098, 'f1': 0.8576452717058547, 'roc_auc': 0.9142608862816648}, tiempo_total=1.74 segundos

C=1, kernel=poly, gamma=scale, degree=9 --> {'cohen_kappa': 0.612734588689053, 'accuracy': 0.8794326241134753, 'precision': 0.8681388766081695, 'recall': 0.8794326241134753, 'f1': 0.8613307898217128, 'roc_auc': 0.8827182382844322}, tiempo_total=1.67 segundos

C=1, kernel=poly, gamma=scale, degree=10 --> {'cohen_kappa': 0.5823011542138353, 'accuracy': 0.8709219858156029, 'precision': 0.8563048097109356, 'recall': 0.8709219858156029, 'f1': 0.8511904844198959, 'roc_auc': 0.8764727604124033}, tiempo_total=1.80 segundos

C=1, kernel=poly, gamma=auto, degree=2 --> {'cohen_kappa': 0.6455613056360086, 'accuracy': 0.885579196217494, 'precision': 0.8750808998739542, 'recall': 0.885579196217494, 'f1': 0.8744300443654195, 'roc_auc': 0.9487579249709048}, tiempo_total=1.46 segundos

C=1, kernel=poly, gamma=auto, degree=3 --> {'cohen_kappa': 0.7045231718258562, 'accuracy': 0.9016548463356973, 'precision': 0.8951055181840533, 'recall': 0.9016548463356973, 'f1': 0.8949385066047917, 'roc_auc': 0.9668482198051489}, tiempo_total=1.26 segundos

C=1, kernel=poly, gamma=auto, degree=4 --> {'cohen_kappa': 0.6436646210330933, 'accuracy': 0.8865248226950355, 'precision': 0.8766717855237388, 'recall': 0.8865248226950355, 'f1': 0.8738033218138831, 'roc_auc': 0.9483500818507558}, tiempo_total=1.48 segundos

C=1, kernel=poly, gamma=auto, degree=5 --> {'cohen_kappa': 0.6652197065568846, 'accuracy': 0.8921985815602836, 'precision': 0.8837852080706948, 'recall': 0.8921985815602836, 'f1': 0.8812326106756068, 'roc_auc': 0.9549113969685974}, tiempo_total=1.37 segundos

C=1, kernel=poly, gamma=auto, degree=6 --> {'cohen_kappa': 0.6049942341199003, 'accuracy': 0.8775413711583926, 'precision': 0.8651474461767524, 'recall': 0.8775413711583926, 'f1': 0.8599038578992542, 'roc_auc': 0.939624632169005}, tiempo_total=1.54 segundos

C=1, kernel=poly, gamma=auto, degree=7 --> {'cohen_kappa': 0.6263645716089334, 'accuracy': 0.8836879432624114, 'precision': 0.8728605911098395, 'recall': 0.8836879432624114, 'f1': 0.8664381695045261, 'roc_auc': 0.9418835069633824}, tiempo_total=1.47 segundos

C=1, kernel=poly, gamma=auto, degree=8 --> {'cohen_kappa': 0.5941658387565356, 'accuracy': 0.875177304964539, 'precision': 0.8628475705379792, 'recall': 0.875177304964539, 'f1': 0.8554932535110146, 'roc_auc': 0.923290553987058}, tiempo_total=1.71 segundos

C=1, kernel=poly, gamma=auto, degree=9 --> {'cohen_kappa': 0.5818862133935977, 'accuracy': 0.8728132387706855, 'precision': 0.8613104241295876, 'recall': 0.8728132387706855, 'f1': 0.8506217238914374, 'roc_auc': 0.8943397903110197}, tiempo_total=1.60 segundos

C=1, kernel=poly, gamma=auto, degree=10 --> {'cohen_kappa': 0.5569853275994437, 'accuracy': 0.8666666666666666, 'precision': 0.8509594080869679, 'recall': 0.8666666666666666, 'f1': 0.8417530532372723, 'roc_auc': 0.8871018230458156}, tiempo_total=1.71 segundos

C=1, kernel=rbf, gamma=scale, degree=3 --> {'cohen_kappa': 0.749767518397585, 'accuracy': 0.913002364066194, 'precision': 0.9113173384254146, 'recall': 0.913002364066194, 'f1': 0.9105259184135146, 'roc_auc': 0.9750708764477451}, tiempo_total=2.27 segundos

C=1, kernel=rbf, gamma=auto, degree=3 --> {'cohen_kappa': 0.74347655757782, 'accuracy': 0.9111111111111111, 'precision': 0.9089263680339001, 'recall': 0.9111111111111111, 'f1': 0.9083156453209975, 'roc_auc': 0.9750131050670602}, tiempo_total=2.28 segundos

C=1, kernel=sigmoid, gamma=scale, degree=3 --> {'cohen_kappa': 0.3873979820480087, 'accuracy': 0.7777777777777777, 'precision': 0.7741637342873002, 'recall': 0.7777777777777777, 'f1': 0.775436637229943, 'roc_auc': 0.8447504172930398}, tiempo_total=1.93 segundos

C=1, kernel=sigmoid, gamma=auto, degree=3 --> {'cohen_kappa': 0.42059306039701455, 'accuracy': 0.7858156028368795, 'precision': 0.786032501378447, 'recall': 0.7858156028368795, 'f1': 0.7853893920339713, 'roc_auc': 0.8538588670367446}, tiempo_total=1.91 segundos

C=10, kernel=linear, gamma=scale, degree=3 --> {'cohen_kappa': 0.5553676061330796, 'accuracy': 0.830260047281324, 'precision': 0.8428793194637118, 'recall': 0.830260047281324, 'f1': 0.8351798231256714, 'roc_auc': 0.9235407834415106}, tiempo_total=1.41 segundos

