Resultados de Random Forest con validacion cruzada (5 folds):

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=1, max_features=sqrt --> {'cohen_kappa': 0.8271343520569221, 'accuracy': 0.939952718676123, 'precision': 0.938397270790589, 'recall': 0.939952718676123, 'f1': 0.9376647431087841, 'roc_auc': 0.98640621044702}, tiempo_total=2.09 segundos

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.8271343520569221, 'accuracy': 0.939952718676123, 'precision': 0.938397270790589, 'recall': 0.939952718676123, 'f1': 0.9376647431087841, 'roc_auc': 0.98640621044702}, tiempo_total=2.05 segundos

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.8133671887177518, 'accuracy': 0.9347517730496454, 'precision': 0.9330813192157301, 'recall': 0.9347517730496454, 'f1': 0.9324062008131062, 'roc_auc': 0.9809031237198921}, tiempo_total=5.74 segundos

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.8170072827738842, 'accuracy': 0.936643026004728, 'precision': 0.935114948132963, 'recall': 0.936643026004728, 'f1': 0.9341752768542568, 'roc_auc': 0.9850467730776142}, tiempo_total=2.03 segundos

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.8170072827738842, 'accuracy': 0.936643026004728, 'precision': 0.935114948132963, 'recall': 0.936643026004728, 'f1': 0.9341752768542568, 'roc_auc': 0.9850467730776142}, tiempo_total=2.02 segundos

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.8100701278003889, 'accuracy': 0.9333333333333333, 'precision': 0.9316866322362951, 'recall': 0.9333333333333333, 'f1': 0.931151308542512, 'roc_auc': 0.9804584595264167}, tiempo_total=5.68 segundos

