Resultados de Regresion Logistica con validacion cruzada (5 folds):

C=0.1, penalty=l2, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.697692587898717, 'accuracy': 0.8940898345153663, 'precision': 0.8906457987634742, 'recall': 0.8940898345153663, 'f1': 0.8914034839703252, 'roc_auc': 0.9648222213620187}, tiempo_total=0.23 segundos

C=0.1, penalty=l2, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.697692587898717, 'accuracy': 0.8940898345153663, 'precision': 0.8906457987634742, 'recall': 0.8940898345153663, 'f1': 0.8914034839703252, 'roc_auc': 0.9648333107297636}, tiempo_total=0.91 segundos

C=0.1, penalty=l2, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.697692587898717, 'accuracy': 0.8940898345153663, 'precision': 0.8906457987634742, 'recall': 0.8940898345153663, 'f1': 0.8914034839703252, 'roc_auc': 0.9648249299887421}, tiempo_total=0.23 segundos

C=0.1, penalty=elasticnet, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.6792460603053094, 'accuracy': 0.8907801418439718, 'precision': 0.8849953600876963, 'recall': 0.8907801418439718, 'f1': 0.8857154601030388, 'roc_auc': 0.9613148353157003}, tiempo_total=1.22 segundos

C=0.1, penalty=elasticnet, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.6896482681604381, 'accuracy': 0.8921985815602836, 'precision': 0.8882254437523447, 'recall': 0.8921985815602836, 'f1': 0.8888290338449545, 'roc_auc': 0.9638036602448483}, tiempo_total=1.32 segundos

C=0.1, penalty=None, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.7099013669089647, 'accuracy': 0.8978723404255318, 'precision': 0.8945341686619848, 'recall': 0.8978723404255318, 'f1': 0.895334500165554, 'roc_auc': 0.9645767662910245}, tiempo_total=0.33 segundos

C=0.1, penalty=None, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.7099013669089647, 'accuracy': 0.8978723404255318, 'precision': 0.8945341686619848, 'recall': 0.8978723404255318, 'f1': 0.895334500165554, 'roc_auc': 0.9645080952638164}, tiempo_total=5.76 segundos

C=0.1, penalty=None, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.7099013669089647, 'accuracy': 0.8978723404255318, 'precision': 0.8945341686619848, 'recall': 0.8978723404255318, 'f1': 0.895334500165554, 'roc_auc': 0.9644438320686637}, tiempo_total=0.29 segundos

C=0.1, penalty=None, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.7061301270848387, 'accuracy': 0.8950354609929076, 'precision': 0.8922506908199145, 'recall': 0.8950354609929076, 'f1': 0.8930424936494228, 'roc_auc': 0.9671044522488467}, tiempo_total=0.38 segundos

C=0.1, penalty=None, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.7061364535680941, 'accuracy': 0.8950354609929079, 'precision': 0.8922587277772065, 'recall': 0.8950354609929079, 'f1': 0.8930201667441091, 'roc_auc': 0.967108690538061}, tiempo_total=5.54 segundos

C=0.1, penalty=None, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.7063575622965645, 'accuracy': 0.8950354609929076, 'precision': 0.8922175558504521, 'recall': 0.8950354609929076, 'f1': 0.8929941681523085, 'roc_auc': 0.967066603860674}, tiempo_total=0.31 segundos

C=1, penalty=l1, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.7012492908189069, 'accuracy': 0.8950354609929076, 'precision': 0.891655984132389, 'recall': 0.8950354609929076, 'f1': 0.8924271546697276, 'roc_auc': 0.964646134048356}, tiempo_total=4.43 segundos

