Resultados de Random Forest con validacion cruzada (5 folds):

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.7428439948007961, 'accuracy': 0.8736398194345449, 'precision': 0.8746756032288026, 'recall': 0.8736398194345449, 'f1': 0.8731255953701256, 'roc_auc': 0.9274258846257653}, tiempo_total=1.36 segundos

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.7230282094296278, 'accuracy': 0.8638512710857686, 'precision': 0.8645654857493132, 'recall': 0.8638512710857686, 'f1': 0.8633543230202797, 'roc_auc': 0.9188717795739402}, tiempo_total=1.94 segundos

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.7428296421958889, 'accuracy': 0.8736338797814207, 'precision': 0.8743968795228323, 'recall': 0.8736338797814207, 'f1': 0.8731402560385464, 'roc_auc': 0.9276500892556975}, tiempo_total=1.29 segundos

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.7428296421958889, 'accuracy': 0.8736338797814207, 'precision': 0.8743968795228323, 'recall': 0.8736338797814207, 'f1': 0.8731402560385464, 'roc_auc': 0.9276500892556975}, tiempo_total=1.29 segundos

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.7182705307742604, 'accuracy': 0.8616654787360417, 'precision': 0.8625012095826218, 'recall': 0.8616654787360417, 'f1': 0.8610465726587471, 'roc_auc': 0.9201939239835031}, tiempo_total=1.76 segundos

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.7476881490018219, 'accuracy': 0.8758374910905203, 'precision': 0.8763046793667255, 'recall': 0.8758374910905203, 'f1': 0.8754925243268612, 'roc_auc': 0.9307276351738473}, tiempo_total=1.30 segundos

