Resultados de Regresion Logistica con validacion cruzada (5 folds):

C=0.1, penalty=l2, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.6862520383003035, 'accuracy': 0.8453254929912093, 'precision': 0.8463807856865848, 'recall': 0.8453254929912093, 'f1': 0.8449478651702476, 'roc_auc': 0.9060480797003659}, tiempo_total=0.15 segundos

C=0.1, penalty=l2, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.6862520383003035, 'accuracy': 0.8453254929912093, 'precision': 0.8463807856865848, 'recall': 0.8453254929912093, 'f1': 0.8449478651702476, 'roc_auc': 0.9060476061953399}, tiempo_total=0.17 segundos

C=0.1, penalty=l2, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.6862520383003035, 'accuracy': 0.8453254929912093, 'precision': 0.8463807856865848, 'recall': 0.8453254929912093, 'f1': 0.8449478651702476, 'roc_auc': 0.9060717549516788}, tiempo_total=0.17 segundos

C=0.1, penalty=elasticnet, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.6794006491590187, 'accuracy': 0.8420586837728676, 'precision': 0.8431347164512477, 'recall': 0.8420586837728676, 'f1': 0.8416164156361594, 'roc_auc': 0.905141317575086}, tiempo_total=0.15 segundos

C=0.1, penalty=elasticnet, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.6839948095987582, 'accuracy': 0.8442444761225945, 'precision': 0.8451444152693591, 'recall': 0.8442444761225945, 'f1': 0.843879793367155, 'roc_auc': 0.9053532110743354}, tiempo_total=0.13 segundos

C=0.1, penalty=None, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.6906710183371324, 'accuracy': 0.8474934663815633, 'precision': 0.8487250215816508, 'recall': 0.8474934663815633, 'f1': 0.8470875430403929, 'roc_auc': 0.9053863564261734}, tiempo_total=0.13 segundos

C=0.1, penalty=None, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.6906710183371324, 'accuracy': 0.8474934663815633, 'precision': 0.8487250215816508, 'recall': 0.8474934663815633, 'f1': 0.8470875430403929, 'roc_auc': 0.9053861196736603}, tiempo_total=0.22 segundos

C=0.1, penalty=None, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.6906710183371324, 'accuracy': 0.8474934663815633, 'precision': 0.8487250215816508, 'recall': 0.8474934663815633, 'f1': 0.8470875430403929, 'roc_auc': 0.9053622076698342}, tiempo_total=0.13 segundos

C=0.1, penalty=None, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.6906710183371324, 'accuracy': 0.8474934663815633, 'precision': 0.8487250215816508, 'recall': 0.8474934663815633, 'f1': 0.8470875430403929, 'roc_auc': 0.9053385324185216}, tiempo_total=0.14 segundos

C=0.1, penalty=None, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.6906710183371324, 'accuracy': 0.8474934663815633, 'precision': 0.8487250215816508, 'recall': 0.8474934663815633, 'f1': 0.8470875430403929, 'roc_auc': 0.9053622076698342}, tiempo_total=0.13 segundos

C=0.1, penalty=None, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.6906710183371324, 'accuracy': 0.8474934663815633, 'precision': 0.8487250215816508, 'recall': 0.8474934663815633, 'f1': 0.8470875430403929, 'roc_auc': 0.9053382956660083}, tiempo_total=0.14 segundos

C=1, penalty=l1, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.6928461037348118, 'accuracy': 0.8485804229033025, 'precision': 0.8498540453059841, 'recall': 0.8485804229033025, 'f1': 0.8481736661738084, 'roc_auc': 0.9050989388752362}, tiempo_total=0.13 segundos

C=1, penalty=l1, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.6928461037348118, 'accuracy': 0.8485804229033025, 'precision': 0.8498540453059841, 'recall': 0.8485804229033025, 'f1': 0.8481736661738084, 'roc_auc': 0.9050989388752362}, tiempo_total=0.14 segundos

C=1, penalty=l2, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.6907127314374635, 'accuracy': 0.8474934663815633, 'precision': 0.848723252939845, 'recall': 0.8474934663815633, 'f1': 0.847111216640195, 'roc_auc': 0.9056065362633824}, tiempo_total=0.12 segundos

C=1, penalty=l2, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.6907127314374635, 'accuracy': 0.8474934663815633, 'precision': 0.848723252939845, 'recall': 0.8474934663815633, 'f1': 0.847111216640195, 'roc_auc': 0.9056306850197213}, tiempo_total=0.12 segundos

C=1, penalty=l2, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.6907127314374635, 'accuracy': 0.8474934663815633, 'precision': 0.848723252939845, 'recall': 0.8474934663815633, 'f1': 0.847111216640195, 'roc_auc': 0.9056304482672083}, tiempo_total=0.13 segundos

C=1, penalty=l2, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.6928939179743658, 'accuracy': 0.8485863625564265, 'precision': 0.8499384421479059, 'recall': 0.8485863625564265, 'f1': 0.8481908503787512, 'roc_auc': 0.9055340899943651}, tiempo_total=0.14 segundos

C=1, penalty=l2, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.6928939179743658, 'accuracy': 0.8485863625564265, 'precision': 0.8499384421479059, 'recall': 0.8485863625564265, 'f1': 0.8481908503787512, 'roc_auc': 0.9055340899943651}, tiempo_total=0.15 segundos

C=1, penalty=l2, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.6928939179743658, 'accuracy': 0.8485863625564265, 'precision': 0.8499384421479059, 'recall': 0.8485863625564265, 'f1': 0.8481908503787512, 'roc_auc': 0.905605826005843}, tiempo_total=0.15 segundos

C=1, penalty=elasticnet, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.6907127314374635, 'accuracy': 0.8474934663815633, 'precision': 0.848723252939845, 'recall': 0.8474934663815633, 'f1': 0.847111216640195, 'roc_auc': 0.905485318976661}, tiempo_total=0.14 segundos

C=1, penalty=elasticnet, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.6907127314374635, 'accuracy': 0.8474934663815633, 'precision': 0.848723252939845, 'recall': 0.8474934663815633, 'f1': 0.847111216640195, 'roc_auc': 0.9053891974563311}, tiempo_total=0.14 segundos

C=1, penalty=None, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.6906710183371324, 'accuracy': 0.8474934663815633, 'precision': 0.8487250215816508, 'recall': 0.8474934663815633, 'f1': 0.8470875430403929, 'roc_auc': 0.9053863564261734}, tiempo_total=0.13 segundos

C=1, penalty=None, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.6906710183371324, 'accuracy': 0.8474934663815633, 'precision': 0.8487250215816508, 'recall': 0.8474934663815633, 'f1': 0.8470875430403929, 'roc_auc': 0.9053861196736603}, tiempo_total=0.26 segundos

C=1, penalty=None, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.6906710183371324, 'accuracy': 0.8474934663815633, 'precision': 0.8487250215816508, 'recall': 0.8474934663815633, 'f1': 0.8470875430403929, 'roc_auc': 0.9053622076698342}, tiempo_total=0.15 segundos

C=1, penalty=None, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.6906710183371324, 'accuracy': 0.8474934663815633, 'precision': 0.8487250215816508, 'recall': 0.8474934663815633, 'f1': 0.8470875430403929, 'roc_auc': 0.9053385324185216}, tiempo_total=0.13 segundos

C=1, penalty=None, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.6906710183371324, 'accuracy': 0.8474934663815633, 'precision': 0.8487250215816508, 'recall': 0.8474934663815633, 'f1': 0.8470875430403929, 'roc_auc': 0.9053622076698342}, tiempo_total=0.13 segundos

