Resultados de SVM con validacion cruzada (5 folds):

C=0.001, kernel=sigmoid, gamma=scale, degree=3 --> {'cohen_kappa': 0.0, 'accuracy': 0.5533737229745783, 'precision': 0.30622390059405563, 'recall': 0.5533737229745783, 'f1': 0.3942683757236075, 'roc_auc': 0.8829545293123285}, tiempo_total=0.72 segundos

C=0.001, kernel=sigmoid, gamma=auto, degree=3 --> {'cohen_kappa': 0.0, 'accuracy': 0.5533737229745783, 'precision': 0.30622390059405563, 'recall': 0.5533737229745783, 'f1': 0.3942683757236075, 'roc_auc': 0.883773219502725}, tiempo_total=0.71 segundos

C=0.01, kernel=linear, gamma=scale, degree=3 --> {'cohen_kappa': 0.6807786972610821, 'accuracy': 0.8431337609883582, 'precision': 0.8439827669664066, 'recall': 0.8431337609883582, 'f1': 0.8424484708571434, 'roc_auc': 0.9045541713425289}, tiempo_total=0.34 segundos

C=0.01, kernel=linear, gamma=auto, degree=3 --> {'cohen_kappa': 0.6807786972610821, 'accuracy': 0.8431337609883582, 'precision': 0.8439827669664066, 'recall': 0.8431337609883582, 'f1': 0.8424484708571434, 'roc_auc': 0.9045541713425289}, tiempo_total=0.34 segundos

C=0.01, kernel=poly, gamma=scale, degree=2 --> {'cohen_kappa': 0.5566337405575513, 'accuracy': 0.787592064623426, 'precision': 0.8105224351873362, 'recall': 0.787592064623426, 'f1': 0.7792370615296171, 'roc_auc': 0.882283335937611}, tiempo_total=0.49 segundos

C=0.01, kernel=poly, gamma=scale, degree=3 --> {'cohen_kappa': 0.634081686489092, 'accuracy': 0.8213649322879544, 'precision': 0.8254047502508108, 'recall': 0.8213649322879544, 'f1': 0.8195543840459296, 'roc_auc': 0.8831861916464243}, tiempo_total=0.50 segundos

C=0.01, kernel=poly, gamma=scale, degree=4 --> {'cohen_kappa': 0.6143399876430575, 'accuracy': 0.8115763839391779, 'precision': 0.8173870573432656, 'recall': 0.8115763839391779, 'f1': 0.8090545104795865, 'roc_auc': 0.8756530818074635}, tiempo_total=0.51 segundos

C=0.01, kernel=poly, gamma=scale, degree=5 --> {'cohen_kappa': 0.6420361094746535, 'accuracy': 0.8212936564504634, 'precision': 0.8274882368305854, 'recall': 0.8212936564504634, 'f1': 0.8211453684860828, 'roc_auc': 0.8735244399619301}, tiempo_total=0.56 segundos

C=0.01, kernel=poly, gamma=scale, degree=6 --> {'cohen_kappa': 0.5757874307113415, 'accuracy': 0.7853587550487052, 'precision': 0.805993194522884, 'recall': 0.7853587550487052, 'f1': 0.7845302143072054, 'roc_auc': 0.8682751632408579}, tiempo_total=0.53 segundos

C=0.01, kernel=poly, gamma=scale, degree=7 --> {'cohen_kappa': 0.4694870168922294, 'accuracy': 0.7254751722499406, 'precision': 0.7876980764279348, 'recall': 0.7254751722499406, 'f1': 0.7183534927776042, 'roc_auc': 0.8686840348310298}, tiempo_total=0.54 segundos

C=0.01, kernel=poly, gamma=scale, degree=8 --> {'cohen_kappa': 0.35990547564692343, 'accuracy': 0.6633879781420765, 'precision': 0.7669891429838958, 'recall': 0.6633879781420765, 'f1': 0.6433546214547915, 'roc_auc': 0.8617877892523829}, tiempo_total=0.55 segundos

C=0.01, kernel=poly, gamma=scale, degree=9 --> {'cohen_kappa': 0.3126658375418915, 'accuracy': 0.6361724875267284, 'precision': 0.7565857482340007, 'recall': 0.6361724875267284, 'f1': 0.6078279339314273, 'roc_auc': 0.8682771756372194}, tiempo_total=0.56 segundos

C=0.01, kernel=poly, gamma=scale, degree=10 --> {'cohen_kappa': 0.29168803581674146, 'accuracy': 0.6241743882157282, 'precision': 0.7499001477609007, 'recall': 0.6241743882157282, 'f1': 0.5920477769072604, 'roc_auc': 0.8685072990799798}, tiempo_total=0.56 segundos

C=0.01, kernel=poly, gamma=auto, degree=2 --> {'cohen_kappa': 0.024187339297700828, 'accuracy': 0.563191969588976, 'precision': 0.7558922634957502, 'recall': 0.563191969588976, 'f1': 0.4158264014002305, 'roc_auc': 0.882283335937611}, tiempo_total=0.51 segundos

C=0.01, kernel=poly, gamma=auto, degree=3 --> {'cohen_kappa': 0.013460875898614843, 'accuracy': 0.5588263245426468, 'precision': 0.6653993393377544, 'recall': 0.5588263245426468, 'f1': 0.40637998013938975, 'roc_auc': 0.883091017136147}, tiempo_total=0.51 segundos

C=0.01, kernel=poly, gamma=auto, degree=4 --> {'cohen_kappa': 0.0026888519134775192, 'accuracy': 0.5544666191494416, 'precision': 0.39617612043071515, 'recall': 0.5544666191494416, 'f1': 0.39670525904269294, 'roc_auc': 0.8748264604078771}, tiempo_total=0.53 segundos

C=0.01, kernel=poly, gamma=auto, degree=5 --> {'cohen_kappa': 0.0053777038269550385, 'accuracy': 0.555559515324305, 'precision': 0.4861283402673746, 'recall': 0.555559515324305, 'f1': 0.39914214236177836, 'roc_auc': 0.8721079496758858}, tiempo_total=0.53 segundos

C=0.01, kernel=poly, gamma=auto, degree=6 --> {'cohen_kappa': 0.008089963907123243, 'accuracy': 0.55664053219292, 'precision': 0.5751086872905495, 'recall': 0.55664053219292, 'f1': 0.4015556615970463, 'roc_auc': 0.8648196419354992}, tiempo_total=0.54 segundos

C=0.01, kernel=poly, gamma=auto, degree=7 --> {'cohen_kappa': 0.011301196054326357, 'accuracy': 0.5577334283677834, 'precision': 0.6651304504476279, 'recall': 0.5577334283677834, 'f1': 0.4058680119761077, 'roc_auc': 0.86070784266375}, tiempo_total=0.52 segundos

C=0.01, kernel=poly, gamma=auto, degree=8 --> {'cohen_kappa': 0.009128772009642372, 'accuracy': 0.5566464718460443, 'precision': 0.6351510575929048, 'recall': 0.5566464718460443, 'f1': 0.40531595730338427, 'roc_auc': 0.8537141734259508}, tiempo_total=0.53 segundos

C=0.01, kernel=poly, gamma=auto, degree=9 --> {'cohen_kappa': 0.011810832087656454, 'accuracy': 0.5577393680209076, 'precision': 0.63548948980345, 'recall': 0.5577393680209076, 'f1': 0.4077033925266423, 'roc_auc': 0.8440830811919069}, tiempo_total=0.54 segundos

C=0.01, kernel=poly, gamma=auto, degree=10 --> {'cohen_kappa': 0.009627164965457813, 'accuracy': 0.5566464718460442, 'precision': 0.5904093307028218, 'recall': 0.5566464718460442, 'f1': 0.40717422336834996, 'roc_auc': 0.8428537437674901}, tiempo_total=0.54 segundos

C=0.01, kernel=rbf, gamma=scale, degree=3 --> {'cohen_kappa': 0.2037585326770123, 'accuracy': 0.6372297457828463, 'precision': 0.7739197709122168, 'recall': 0.6372297457828463, 'f1': 0.5570347486406451, 'roc_auc': 0.900781046540809}, tiempo_total=0.99 segundos

C=0.01, kernel=rbf, gamma=auto, degree=3 --> {'cohen_kappa': 0.24266242239839403, 'accuracy': 0.6535697315276788, 'precision': 0.7823804460814194, 'recall': 0.6535697315276788, 'f1': 0.5848382513205758, 'roc_auc': 0.8992918732332343}, tiempo_total=0.98 segundos

C=0.01, kernel=sigmoid, gamma=scale, degree=3 --> {'cohen_kappa': 0.5627770760124189, 'accuracy': 0.7897481587075316, 'precision': 0.8051193618619594, 'recall': 0.7897481587075316, 'f1': 0.7830856732559905, 'roc_auc': 0.883495508804826}, tiempo_total=0.74 segundos

C=0.01, kernel=sigmoid, gamma=auto, degree=3 --> {'cohen_kappa': 0.5203254631166158, 'accuracy': 0.7712520788785936, 'precision': 0.7981971989710903, 'recall': 0.7712520788785936, 'f1': 0.7602658598424687, 'roc_auc': 0.883617909854113}, tiempo_total=0.71 segundos

C=0.1, kernel=linear, gamma=scale, degree=3 --> {'cohen_kappa': 0.7036363292470817, 'accuracy': 0.8540449037776193, 'precision': 0.8550459870630183, 'recall': 0.8540449037776193, 'f1': 0.8536046953813996, 'roc_auc': 0.9065369736399752}, tiempo_total=0.33 segundos

C=0.1, kernel=linear, gamma=auto, degree=3 --> {'cohen_kappa': 0.7036363292470817, 'accuracy': 0.8540449037776193, 'precision': 0.8550459870630183, 'recall': 0.8540449037776193, 'f1': 0.8536046953813996, 'roc_auc': 0.9065369736399752}, tiempo_total=0.36 segundos

C=0.1, kernel=poly, gamma=scale, degree=2 --> {'cohen_kappa': 0.6629256418436235, 'accuracy': 0.8322523164647185, 'precision': 0.8351145181235683, 'recall': 0.8322523164647185, 'f1': 0.8326008536868571, 'roc_auc': 0.8979757660127561}, tiempo_total=0.44 segundos

C=0.1, kernel=poly, gamma=scale, degree=3 --> {'cohen_kappa': 0.6275351338694856, 'accuracy': 0.8126514611546686, 'precision': 0.824939610570957, 'recall': 0.8126514611546686, 'f1': 0.8129113219752805, 'roc_auc': 0.897544166181324}, tiempo_total=0.45 segundos

C=0.1, kernel=poly, gamma=scale, degree=4 --> {'cohen_kappa': 0.5870009576607467, 'accuracy': 0.7908469945355191, 'precision': 0.8121611846814473, 'recall': 0.7908469945355191, 'f1': 0.7905141146920862, 'roc_auc': 0.8873874833681359}, tiempo_total=0.53 segundos

C=0.1, kernel=poly, gamma=scale, degree=5 --> {'cohen_kappa': 0.5487292053610583, 'accuracy': 0.7701591827037302, 'precision': 0.8010937498667232, 'recall': 0.7701591827037302, 'f1': 0.7687444530778917, 'roc_auc': 0.8854955940357307}, tiempo_total=0.47 segundos

C=0.1, kernel=poly, gamma=scale, degree=6 --> {'cohen_kappa': 0.5032081261426052, 'accuracy': 0.745135424091233, 'precision': 0.7878143210105881, 'recall': 0.745135424091233, 'f1': 0.7418679991221441, 'roc_auc': 0.8819703491152557}, tiempo_total=0.50 segundos

C=0.1, kernel=poly, gamma=scale, degree=7 --> {'cohen_kappa': 0.4719420163193517, 'accuracy': 0.7276787835590401, 'precision': 0.7817380105416692, 'recall': 0.7276787835590401, 'f1': 0.7219786852249795, 'roc_auc': 0.8789216870037075}, tiempo_total=0.51 segundos

C=0.1, kernel=poly, gamma=scale, degree=8 --> {'cohen_kappa': 0.46431703260361346, 'accuracy': 0.7233368971252079, 'precision': 0.77967215918205, 'recall': 0.7233368971252079, 'f1': 0.7170125461446013, 'roc_auc': 0.8772388501403942}, tiempo_total=0.54 segundos

C=0.1, kernel=poly, gamma=scale, degree=9 --> {'cohen_kappa': 0.44821197063247703, 'accuracy': 0.7146174863387978, 'precision': 0.7736433102990476, 'recall': 0.7146174863387978, 'f1': 0.7073596648714242, 'roc_auc': 0.8728288610783604}, tiempo_total=0.56 segundos

C=0.1, kernel=poly, gamma=scale, degree=10 --> {'cohen_kappa': 0.43612447495414425, 'accuracy': 0.7080838679021145, 'precision': 0.7688027613483248, 'recall': 0.7080838679021145, 'f1': 0.7000919860802008, 'roc_auc': 0.8632467766145338}, tiempo_total=0.55 segundos

C=0.1, kernel=poly, gamma=auto, degree=2 --> {'cohen_kappa': 0.6486483850285768, 'accuracy': 0.8246317415062961, 'precision': 0.8294076724648847, 'recall': 0.8246317415062961, 'f1': 0.8250642883777204, 'roc_auc': 0.8966464006515429}, tiempo_total=0.43 segundos

C=0.1, kernel=poly, gamma=auto, degree=3 --> {'cohen_kappa': 0.6129656271518398, 'accuracy': 0.8050249465431218, 'precision': 0.8190348183431242, 'recall': 0.8050249465431218, 'f1': 0.8052238522638572, 'roc_auc': 0.8941358770023344}, tiempo_total=0.45 segundos

C=0.1, kernel=poly, gamma=auto, degree=4 --> {'cohen_kappa': 0.5756207158991378, 'accuracy': 0.7843074364457115, 'precision': 0.8114625790199739, 'recall': 0.7843074364457115, 'f1': 0.78346802336672, 'roc_auc': 0.8871992651201992}, tiempo_total=0.47 segundos

C=0.1, kernel=poly, gamma=auto, degree=5 --> {'cohen_kappa': 0.5074048032343199, 'accuracy': 0.746216440959848, 'precision': 0.7993034679224159, 'recall': 0.746216440959848, 'f1': 0.7415999879212916, 'roc_auc': 0.8841534440388085}, tiempo_total=0.49 segundos

C=0.1, kernel=poly, gamma=auto, degree=6 --> {'cohen_kappa': 0.462018922864808, 'accuracy': 0.7211511047754812, 'precision': 0.7882456121666201, 'recall': 0.7211511047754812, 'f1': 0.7133303129668127, 'roc_auc': 0.8816500229649937}, tiempo_total=0.65 segundos

C=0.1, kernel=poly, gamma=auto, degree=7 --> {'cohen_kappa': 0.41793955571751484, 'accuracy': 0.6961095272036113, 'precision': 0.7806491195400526, 'recall': 0.6961095272036113, 'f1': 0.6832033128928018, 'roc_auc': 0.8753462505504496}, tiempo_total=0.54 segundos

C=0.1, kernel=poly, gamma=auto, degree=8 --> {'cohen_kappa': 0.37890229200674297, 'accuracy': 0.674328819196959, 'precision': 0.7690191700552823, 'recall': 0.674328819196959, 'f1': 0.6574633033572098, 'roc_auc': 0.8739142529747953}, tiempo_total=0.55 segundos

C=0.1, kernel=poly, gamma=auto, degree=9 --> {'cohen_kappa': 0.3438254074412061, 'accuracy': 0.6546923259681635, 'precision': 0.7570327579686379, 'recall': 0.6546923259681635, 'f1': 0.6333544273922211, 'roc_auc': 0.8590196788688912}, tiempo_total=0.54 segundos

C=0.1, kernel=poly, gamma=auto, degree=10 --> {'cohen_kappa': 0.32295070055363745, 'accuracy': 0.642712045616536, 'precision': 0.7517590389990321, 'recall': 0.642712045616536, 'f1': 0.6181252089716546, 'roc_auc': 0.8699492402611855}, tiempo_total=0.60 segundos

C=0.1, kernel=rbf, gamma=scale, degree=3 --> {'cohen_kappa': 0.6721194883716775, 'accuracy': 0.839849132810644, 'precision': 0.8429684960856276, 'recall': 0.839849132810644, 'f1': 0.838322311071526, 'roc_auc': 0.9150823188488145}, tiempo_total=0.70 segundos

C=0.1, kernel=rbf, gamma=auto, degree=3 --> {'cohen_kappa': 0.6743590666578989, 'accuracy': 0.8409301496792587, 'precision': 0.8439882626211457, 'recall': 0.8409301496792587, 'f1': 0.8394074048231467, 'roc_auc': 0.91384291944259}, tiempo_total=0.73 segundos

C=0.1, kernel=sigmoid, gamma=scale, degree=3 --> {'cohen_kappa': 0.6510039696754719, 'accuracy': 0.8289558089807556, 'precision': 0.8302961744463083, 'recall': 0.8289558089807556, 'f1': 0.8278320457721613, 'roc_auc': 0.8937672533393941}, tiempo_total=0.52 segundos

C=0.1, kernel=sigmoid, gamma=auto, degree=3 --> {'cohen_kappa': 0.6597844340838088, 'accuracy': 0.8333273936802092, 'precision': 0.8350045463802935, 'recall': 0.8333273936802092, 'f1': 0.8321507036780782, 'roc_auc': 0.8973261171167332}, tiempo_total=0.51 segundos

C=1, kernel=linear, gamma=scale, degree=3 --> {'cohen_kappa': 0.7034323275974026, 'accuracy': 0.8540092658588738, 'precision': 0.8545859138430604, 'recall': 0.8540092658588738, 'f1': 0.853556596139018, 'roc_auc': 0.9051825125123705}, tiempo_total=0.37 segundos

C=1, kernel=linear, gamma=auto, degree=3 --> {'cohen_kappa': 0.7034323275974026, 'accuracy': 0.8540092658588738, 'precision': 0.8545859138430604, 'recall': 0.8540092658588738, 'f1': 0.853556596139018, 'roc_auc': 0.9051825125123705}, tiempo_total=0.37 segundos

C=1, kernel=poly, gamma=scale, degree=2 --> {'cohen_kappa': 0.7034013697366863, 'accuracy': 0.8529401282965076, 'precision': 0.8544391681669407, 'recall': 0.8529401282965076, 'f1': 0.8530578740162781, 'roc_auc': 0.9003780937634651}, tiempo_total=0.38 segundos

C=1, kernel=poly, gamma=scale, degree=3 --> {'cohen_kappa': 0.6849989830984017, 'accuracy': 0.843175338560228, 'precision': 0.8467729487369112, 'recall': 0.843175338560228, 'f1': 0.843446601987103, 'roc_auc': 0.898851631935073}, tiempo_total=0.40 segundos

C=1, kernel=poly, gamma=scale, degree=4 --> {'cohen_kappa': 0.6369247202017219, 'accuracy': 0.8180921834164885, 'precision': 0.8258217246436962, 'recall': 0.8180921834164885, 'f1': 0.8185386368288023, 'roc_auc': 0.8881431973900403}, tiempo_total=0.42 segundos

C=1, kernel=poly, gamma=scale, degree=5 --> {'cohen_kappa': 0.5955546569782364, 'accuracy': 0.796287716797339, 'precision': 0.8096260703598087, 'recall': 0.796287716797339, 'f1': 0.7966084539116505, 'roc_auc': 0.8816886136246336}, tiempo_total=0.46 segundos

C=1, kernel=poly, gamma=scale, degree=6 --> {'cohen_kappa': 0.5911316572434254, 'accuracy': 0.7940841054882395, 'precision': 0.8075426870956359, 'recall': 0.7940841054882395, 'f1': 0.794398897167216, 'roc_auc': 0.87164580877026}, tiempo_total=0.44 segundos

C=1, kernel=poly, gamma=scale, degree=7 --> {'cohen_kappa': 0.5750003292216436, 'accuracy': 0.7853706343549537, 'precision': 0.8022806423441102, 'recall': 0.7853706343549537, 'f1': 0.7854635440789999, 'roc_auc': 0.8766550184430209}, tiempo_total=0.54 segundos

C=1, kernel=poly, gamma=scale, degree=8 --> {'cohen_kappa': 0.5670560753981546, 'accuracy': 0.7810228082679971, 'precision': 0.7998158170959598, 'recall': 0.7810228082679971, 'f1': 0.7809404695036645, 'roc_auc': 0.8737725565956882}, tiempo_total=0.47 segundos

C=1, kernel=poly, gamma=scale, degree=9 --> {'cohen_kappa': 0.5696775936168637, 'accuracy': 0.7821157044428604, 'precision': 0.8031065136841814, 'recall': 0.7821157044428604, 'f1': 0.7818294706360105, 'roc_auc': 0.8701494145110351}, tiempo_total=0.48 segundos

C=1, kernel=poly, gamma=scale, degree=10 --> {'cohen_kappa': 0.5557892468724015, 'accuracy': 0.7745129484438109, 'precision': 0.7994507334142946, 'recall': 0.7745129484438109, 'f1': 0.7738358764552034, 'roc_auc': 0.8624046479253378}, tiempo_total=0.49 segundos

C=1, kernel=poly, gamma=auto, degree=2 --> {'cohen_kappa': 0.7033572833737507, 'accuracy': 0.8529341886433832, 'precision': 0.8545277297244308, 'recall': 0.8529341886433832, 'f1': 0.8530295667548066, 'roc_auc': 0.9010430131965851}, tiempo_total=0.39 segundos

C=1, kernel=poly, gamma=auto, degree=3 --> {'cohen_kappa': 0.6985210626625431, 'accuracy': 0.8497148966500356, 'precision': 0.8537155922724071, 'recall': 0.8497148966500356, 'f1': 0.8500223292941286, 'roc_auc': 0.9016773915555113}, tiempo_total=0.39 segundos

C=1, kernel=poly, gamma=auto, degree=4 --> {'cohen_kappa': 0.6229189545756657, 'accuracy': 0.8104537894986933, 'precision': 0.821448003794486, 'recall': 0.8104537894986933, 'f1': 0.8108544919671739, 'roc_auc': 0.8891306921222968}, tiempo_total=0.43 segundos

C=1, kernel=poly, gamma=auto, degree=5 --> {'cohen_kappa': 0.5966912263492424, 'accuracy': 0.7962817771442147, 'precision': 0.8134901996528212, 'recall': 0.7962817771442147, 'f1': 0.7963028403799488, 'roc_auc': 0.8852256961707647}, tiempo_total=0.45 segundos

C=1, kernel=poly, gamma=auto, degree=6 --> {'cohen_kappa': 0.5596623379159448, 'accuracy': 0.7766690425279164, 'precision': 0.800089293939177, 'recall': 0.7766690425279164, 'f1': 0.7761156568437404, 'roc_auc': 0.8738421618345479}, tiempo_total=0.44 segundos

C=1, kernel=poly, gamma=auto, degree=7 --> {'cohen_kappa': 0.536168771109781, 'accuracy': 0.7636018056545497, 'precision': 0.795298941746687, 'recall': 0.7636018056545497, 'f1': 0.7619308564392353, 'roc_auc': 0.8755189615087764}, tiempo_total=0.50 segundos

C=1, kernel=poly, gamma=auto, degree=8 --> {'cohen_kappa': 0.5122958110740774, 'accuracy': 0.7505464480874317, 'precision': 0.7878569823236299, 'recall': 0.7505464480874317, 'f1': 0.748080453434192, 'roc_auc': 0.8760591123674779}, tiempo_total=0.53 segundos

C=1, kernel=poly, gamma=auto, degree=9 --> {'cohen_kappa': 0.49490019388060846, 'accuracy': 0.7407460204324068, 'precision': 0.7849203537892844, 'recall': 0.7407460204324068, 'f1': 0.7370914794800306, 'roc_auc': 0.8774263581307915}, tiempo_total=0.52 segundos

C=1, kernel=poly, gamma=auto, degree=10 --> {'cohen_kappa': 0.4768941679782131, 'accuracy': 0.7309574720836303, 'precision': 0.7784538150242388, 'recall': 0.7309574720836303, 'f1': 0.7265778502327689, 'roc_auc': 0.8604900303516722}, tiempo_total=0.49 segundos

C=1, kernel=rbf, gamma=scale, degree=3 --> {'cohen_kappa': 0.7181454664406339, 'accuracy': 0.8616417201235448, 'precision': 0.8628736200825496, 'recall': 0.8616417201235448, 'f1': 0.8609447576506198, 'roc_auc': 0.9229747006264472}, tiempo_total=0.61 segundos

C=1, kernel=rbf, gamma=auto, degree=3 --> {'cohen_kappa': 0.7136747254405252, 'accuracy': 0.8594618674269423, 'precision': 0.8608041809957996, 'recall': 0.8594618674269423, 'f1': 0.8587219772869379, 'roc_auc': 0.9234245304013902}, tiempo_total=0.68 segundos

C=1, kernel=sigmoid, gamma=scale, degree=3 --> {'cohen_kappa': 0.4956560061158644, 'accuracy': 0.7505820860061773, 'precision': 0.7526934305547675, 'recall': 0.7505820860061773, 'f1': 0.7499197787729766, 'roc_auc': 0.8086312863711049}, tiempo_total=0.40 segundos

C=1, kernel=sigmoid, gamma=auto, degree=3 --> {'cohen_kappa': 0.5379155853781981, 'accuracy': 0.7723330957472083, 'precision': 0.7739696410186044, 'recall': 0.7723330957472083, 'f1': 0.7714016614082438, 'roc_auc': 0.8257705110539748}, tiempo_total=0.40 segundos

C=10, kernel=linear, gamma=scale, degree=3 --> {'cohen_kappa': 0.29427789065241877, 'accuracy': 0.6533974815870753, 'precision': 0.6523192824126857, 'recall': 0.6533974815870753, 'f1': 0.6512512398069821, 'roc_auc': 0.6822074567571536}, tiempo_total=0.41 segundos

