Resultados de SVM con validacion cruzada (5 folds):

C=0.001, kernel=sigmoid, gamma=scale, degree=3 --> {'cohen_kappa': 0.0, 'accuracy': 0.4838709677419355, 'precision': 0.23413111342351717, 'recall': 0.4838709677419355, 'f1': 0.3155680224403927, 'roc_auc': 0.9196686507936509}, tiempo_total=0.19 segundos

C=0.001, kernel=sigmoid, gamma=auto, degree=3 --> {'cohen_kappa': 0.0, 'accuracy': 0.4838709677419355, 'precision': 0.23413111342351717, 'recall': 0.4838709677419355, 'f1': 0.3155680224403927, 'roc_auc': 0.9199404761904763}, tiempo_total=0.19 segundos

C=0.01, kernel=linear, gamma=scale, degree=3 --> {'cohen_kappa': 0.5363888396258829, 'accuracy': 0.7225806451612904, 'precision': 0.614089906535326, 'recall': 0.7225806451612904, 'f1': 0.6559949261723785, 'roc_auc': 0.9290178571428571}, tiempo_total=0.14 segundos

C=0.01, kernel=linear, gamma=auto, degree=3 --> {'cohen_kappa': 0.5363888396258829, 'accuracy': 0.7225806451612904, 'precision': 0.614089906535326, 'recall': 0.7225806451612904, 'f1': 0.6559949261723785, 'roc_auc': 0.9290178571428571}, tiempo_total=0.14 segundos

C=0.01, kernel=poly, gamma=scale, degree=2 --> {'cohen_kappa': 0.0, 'accuracy': 0.4838709677419355, 'precision': 0.23413111342351717, 'recall': 0.4838709677419355, 'f1': 0.3155680224403927, 'roc_auc': 0.7290416666666666}, tiempo_total=0.16 segundos

C=0.01, kernel=poly, gamma=scale, degree=3 --> {'cohen_kappa': 0.0010030090270812142, 'accuracy': 0.4838709677419355, 'precision': 0.23489875641834837, 'recall': 0.4838709677419355, 'f1': 0.3162615785336683, 'roc_auc': 0.8978571428571428}, tiempo_total=0.16 segundos

C=0.01, kernel=poly, gamma=scale, degree=4 --> {'cohen_kappa': 0.0, 'accuracy': 0.4838709677419355, 'precision': 0.23413111342351717, 'recall': 0.4838709677419355, 'f1': 0.3155680224403927, 'roc_auc': 0.7076309523809523}, tiempo_total=0.16 segundos

C=0.01, kernel=poly, gamma=scale, degree=5 --> {'cohen_kappa': 0.009227683049147362, 'accuracy': 0.4870967741935484, 'precision': 0.3009501714402688, 'recall': 0.4870967741935484, 'f1': 0.3237930839613869, 'roc_auc': 0.8785000000000001}, tiempo_total=0.16 segundos

C=0.01, kernel=poly, gamma=scale, degree=6 --> {'cohen_kappa': -0.009611251336426907, 'accuracy': 0.4774193548387097, 'precision': 0.2324934750345439, 'recall': 0.4774193548387097, 'f1': 0.3127013239215203, 'roc_auc': 0.6433730158730158}, tiempo_total=0.17 segundos

C=0.01, kernel=poly, gamma=scale, degree=7 --> {'cohen_kappa': 0.0321993795989425, 'accuracy': 0.4967741935483871, 'precision': 0.38077610875260465, 'recall': 0.4967741935483871, 'f1': 0.34343240320201096, 'roc_auc': 0.8127083333333334}, tiempo_total=0.16 segundos

C=0.01, kernel=poly, gamma=scale, degree=8 --> {'cohen_kappa': -0.02258431223948474, 'accuracy': 0.467741935483871, 'precision': 0.22995374770249222, 'recall': 0.467741935483871, 'f1': 0.30830464585605866, 'roc_auc': 0.6203630952380952}, tiempo_total=0.17 segundos

C=0.01, kernel=poly, gamma=scale, degree=9 --> {'cohen_kappa': 0.05014348719685955, 'accuracy': 0.5032258064516129, 'precision': 0.5078613967324527, 'recall': 0.5032258064516129, 'f1': 0.362520584772661, 'roc_auc': 0.714938492063492}, tiempo_total=0.16 segundos

C=0.01, kernel=poly, gamma=scale, degree=10 --> {'cohen_kappa': -0.036173010156731245, 'accuracy': 0.4580645161290323, 'precision': 0.22732787925120754, 'recall': 0.4580645161290323, 'f1': 0.3038091413605541, 'roc_auc': 0.5917936507936508}, tiempo_total=0.18 segundos

C=0.01, kernel=poly, gamma=auto, degree=2 --> {'cohen_kappa': 0.0, 'accuracy': 0.4838709677419355, 'precision': 0.23413111342351717, 'recall': 0.4838709677419355, 'f1': 0.3155680224403927, 'roc_auc': 0.7287123015873016}, tiempo_total=0.16 segundos

C=0.01, kernel=poly, gamma=auto, degree=3 --> {'cohen_kappa': 0.010189650788693405, 'accuracy': 0.4870967741935484, 'precision': 0.2694853380187987, 'recall': 0.4870967741935484, 'f1': 0.3242227618104196, 'roc_auc': 0.8975972222222222}, tiempo_total=0.16 segundos

