Resultados de Random Forest con validacion cruzada (5 folds):

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=1, max_features=log2 --> {'cohen_kappa': 0.7561658576044445, 'accuracy': 0.8483870967741935, 'precision': 0.8515492069372765, 'recall': 0.8483870967741935, 'f1': 0.8454216224969677, 'roc_auc': 0.9500079365079366}, tiempo_total=1.08 segundos

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=2, max_features=None --> {'cohen_kappa': 0.7523770023462889, 'accuracy': 0.8451612903225806, 'precision': 0.8512077648858855, 'recall': 0.8451612903225806, 'f1': 0.8453243185628899, 'roc_auc': 0.9477142857142858}, tiempo_total=1.22 segundos

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=2, max_features=sqrt --> {'cohen_kappa': 0.7354541398740679, 'accuracy': 0.835483870967742, 'precision': 0.8384688745250142, 'recall': 0.835483870967742, 'f1': 0.8324809879375504, 'roc_auc': 0.9499742063492063}, tiempo_total=1.09 segundos

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=2, max_features=log2 --> {'cohen_kappa': 0.7354541398740679, 'accuracy': 0.835483870967742, 'precision': 0.8384688745250142, 'recall': 0.835483870967742, 'f1': 0.8324809879375504, 'roc_auc': 0.9499742063492063}, tiempo_total=1.19 segundos

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=4, max_features=None --> {'cohen_kappa': 0.7474404307823506, 'accuracy': 0.8419354838709678, 'precision': 0.8484944566887064, 'recall': 0.8419354838709678, 'f1': 0.8418428537911025, 'roc_auc': 0.9488988095238096}, tiempo_total=1.21 segundos

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=4, max_features=sqrt --> {'cohen_kappa': 0.7346817373591772, 'accuracy': 0.835483870967742, 'precision': 0.8354241951250276, 'recall': 0.835483870967742, 'f1': 0.8313920071401493, 'roc_auc': 0.9527936507936507}, tiempo_total=1.06 segundos

criterion=gini, max_depth=None, min_samples_split=10, min_samples_leaf=4, max_features=log2 --> {'cohen_kappa': 0.7346817373591772, 'accuracy': 0.835483870967742, 'precision': 0.8354241951250276, 'recall': 0.835483870967742, 'f1': 0.8313920071401493, 'roc_auc': 0.9527936507936507}, tiempo_total=1.06 segundos

criterion=gini, max_depth=3, min_samples_split=2, min_samples_leaf=1, max_features=None --> {'cohen_kappa': 0.7415712009401931, 'accuracy': 0.8387096774193548, 'precision': 0.8455163922099406, 'recall': 0.8387096774193548, 'f1': 0.8378882592420661, 'roc_auc': 0.9480555555555557}, tiempo_total=1.15 segundos

