Resultados de Regresion Logistica con validacion cruzada (5 folds):

C=0.01, penalty=l1, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.0, 'accuracy': 0.4838709677419355, 'precision': 0.23413111342351717, 'recall': 0.4838709677419355, 'f1': 0.3155680224403927, 'roc_auc': 0.5}, tiempo_total=0.14 segundos
C=0.1, penalty=l2, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.7082612699341695, 'accuracy': 0.8193548387096774, 'precision': 0.8222657920877913, 'recall': 0.8193548387096774, 'f1': 0.8170267021298923, 'roc_auc': 0.9497718253968255}, tiempo_total=0.20 segundos

C=0.1, penalty=l2, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.7082612699341695, 'accuracy': 0.8193548387096774, 'precision': 0.8222657920877913, 'recall': 0.8193548387096774, 'f1': 0.8170267021298923, 'roc_auc': 0.9497718253968255}, tiempo_total=0.14 segundos

C=0.1, penalty=l2, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.7082612699341695, 'accuracy': 0.8193548387096774, 'precision': 0.8222657920877913, 'recall': 0.8193548387096774, 'f1': 0.8170267021298923, 'roc_auc': 0.9496924603174601}, tiempo_total=0.13 segundos

C=0.1, penalty=elasticnet, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.6830190804895558, 'accuracy': 0.8064516129032258, 'precision': 0.8083554662560417, 'recall': 0.8064516129032258, 'f1': 0.7940681042962335, 'roc_auc': 0.9495218253968254}, tiempo_total=0.16 segundos

C=0.1, penalty=elasticnet, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.7167813526726536, 'accuracy': 0.8258064516129032, 'precision': 0.8306762379790655, 'recall': 0.8258064516129032, 'f1': 0.8180120384605892, 'roc_auc': 0.9501329365079366}, tiempo_total=0.16 segundos

C=0.1, penalty=None, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.7720833217931251, 'accuracy': 0.8580645161290322, 'precision': 0.8626069043480902, 'recall': 0.8580645161290322, 'f1': 0.8565533671619916, 'roc_auc': 0.959079365079365}, tiempo_total=0.16 segundos

C=0.1, penalty=None, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.7720833217931251, 'accuracy': 0.8580645161290322, 'precision': 0.8626069043480902, 'recall': 0.8580645161290322, 'f1': 0.8565533671619916, 'roc_auc': 0.9593492063492064}, tiempo_total=0.45 segundos

C=0.1, penalty=None, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.7720833217931251, 'accuracy': 0.8580645161290322, 'precision': 0.8626069043480902, 'recall': 0.8580645161290322, 'f1': 0.8565533671619916, 'roc_auc': 0.9591904761904761}, tiempo_total=0.17 segundos

C=0.1, penalty=None, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.7619815211446225, 'accuracy': 0.8516129032258064, 'precision': 0.8547015605100675, 'recall': 0.8516129032258064, 'f1': 0.8502788390126641, 'roc_auc': 0.9621646825396827}, tiempo_total=0.16 segundos

C=0.1, penalty=None, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.7619815211446225, 'accuracy': 0.8516129032258064, 'precision': 0.8547015605100675, 'recall': 0.8516129032258064, 'f1': 0.8502788390126641, 'roc_auc': 0.962234126984127}, tiempo_total=0.42 segundos

C=0.1, penalty=None, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.7619815211446225, 'accuracy': 0.8516129032258064, 'precision': 0.8547015605100675, 'recall': 0.8516129032258064, 'f1': 0.8502788390126641, 'roc_auc': 0.962234126984127}, tiempo_total=0.15 segundos

C=1, penalty=l1, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.7717801212224724, 'accuracy': 0.8580645161290322, 'precision': 0.8615966009534951, 'recall': 0.8580645161290322, 'f1': 0.8559223839634486, 'roc_auc': 0.9602896825396826}, tiempo_total=0.40 segundos

C=1, penalty=l1, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.7717801212224724, 'accuracy': 0.8580645161290322, 'precision': 0.8615966009534951, 'recall': 0.8580645161290322, 'f1': 0.8559223839634486, 'roc_auc': 0.9618392857142858}, tiempo_total=0.57 segundos

C=1, penalty=l2, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.7566648009200586, 'accuracy': 0.8483870967741935, 'precision': 0.8526210800129889, 'recall': 0.8483870967741935, 'f1': 0.8468916332603953, 'roc_auc': 0.9585753968253968}, tiempo_total=0.17 segundos

C=1, penalty=l2, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.7566648009200586, 'accuracy': 0.8483870967741935, 'precision': 0.8526210800129889, 'recall': 0.8483870967741935, 'f1': 0.8468916332603953, 'roc_auc': 0.9585753968253968}, tiempo_total=0.23 segundos

C=1, penalty=l2, solver=newton-cg, multi_class=ovr --> {'cohen_kappa': 0.7566648009200586, 'accuracy': 0.8483870967741935, 'precision': 0.8526210800129889, 'recall': 0.8483870967741935, 'f1': 0.8468916332603953, 'roc_auc': 0.9585753968253968}, tiempo_total=0.16 segundos

C=1, penalty=l2, solver=lbfgs, multi_class=multinomial --> {'cohen_kappa': 0.7619456564295846, 'accuracy': 0.8516129032258064, 'precision': 0.8567003896540338, 'recall': 0.8516129032258064, 'f1': 0.8502080572629431, 'roc_auc': 0.959029761904762}, tiempo_total=0.14 segundos

C=1, penalty=l2, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.7619456564295846, 'accuracy': 0.8516129032258064, 'precision': 0.8567003896540338, 'recall': 0.8516129032258064, 'f1': 0.8502080572629431, 'roc_auc': 0.9592202380952382}, tiempo_total=0.18 segundos

C=1, penalty=l2, solver=newton-cg, multi_class=multinomial --> {'cohen_kappa': 0.7619456564295846, 'accuracy': 0.8516129032258064, 'precision': 0.8567003896540338, 'recall': 0.8516129032258064, 'f1': 0.8502080572629431, 'roc_auc': 0.9591408730158729}, tiempo_total=0.14 segundos

C=1, penalty=elasticnet, solver=saga, multi_class=ovr --> {'cohen_kappa': 0.7819122250662843, 'accuracy': 0.864516129032258, 'precision': 0.8674107027002756, 'recall': 0.864516129032258, 'f1': 0.8622712792523665, 'roc_auc': 0.9597261904761905}, tiempo_total=0.32 segundos

C=1, penalty=elasticnet, solver=saga, multi_class=multinomial --> {'cohen_kappa': 0.7669596084019596, 'accuracy': 0.8548387096774194, 'precision': 0.8596114892909641, 'recall': 0.8548387096774194, 'f1': 0.8532498853303156, 'roc_auc': 0.9606071428571429}, tiempo_total=0.28 segundos

C=1, penalty=None, solver=lbfgs, multi_class=ovr --> {'cohen_kappa': 0.7720833217931251, 'accuracy': 0.8580645161290322, 'precision': 0.8626069043480902, 'recall': 0.8580645161290322, 'f1': 0.8565533671619916, 'roc_auc': 0.959079365079365}, tiempo_total=0.17 segundos

